"Gene","Symbol","num_estudos","HedgesG_pool","SE_HedgesG","pval","FDR","I2","tau2","logFC_meta","SE_logFC_meta"
"596","BCL2",7,-2.66422554256132,0.238934606483392,7.12546643523855e-29,1.43563897737186e-24,0.000418099244542578,1.87031756266915e-06,-1.23440141148358,0.251757691927727
"79974","CPED1",7,-2.39706588129033,0.23610653803206,3.23062345204918e-24,1.62726503279717e-20,0.000783804339415123,3.42382379935526e-06,-2.38452743305553,0.620400360252935
"79581","SLC52A2",7,2.25296229469792,0.226338337165617,2.42348359419476e-23,8.13805790930599e-20,0.000431006496780439,1.6894956679568e-06,1.04157826054548,0.21841521667569
"2023","ENO1",7,2.2637654896481,0.229222543131416,5.29863701616882e-23,1.52509912288242e-19,0.00113571316859819,4.52202434581356e-06,1.03258955094793,0.0959397728456905
"10212","DDX39A",6,2.3881593493102,0.249921407485365,1.2282073924249e-21,2.74954694917521e-18,0,0,1.17062923453366,0.188769344698853
"90293","KLHL13",6,-2.49567737020485,0.270668125820289,2.95902347357934e-20,4.96820041213971e-17,1.2260433004287,0.00588796822377036,-1.09174075298855,0.0961578305256379
"4857","NOVA1",6,-2.21540624803627,0.241621969508001,4.77896474518962e-20,7.4066601296985e-17,2.18786186341909e-05,8.71667368185246e-08,-1.03026709228979,0.32375741913343
"5121","PCP4",7,-2.12127058596617,0.238098682208339,5.13985955565467e-19,6.90385935515535e-16,0,0,-4.60345316803386,0.985978731679665
"11037","STON1",6,-2.05753695373222,0.232082779835743,7.6140696648655e-19,9.58801722548189e-16,0.000950651538330813,3.44163840054864e-06,-1.48825642140342,0.513418671849126
"79785","RERGL",6,-2.08426191651363,0.236860992078749,1.37408376041232e-18,1.62853174145809e-15,4.55886821754874e-05,1.7213971887756e-07,-1.30244467541986,0.359474936980212
"5010","CLDN11",7,-1.92647613596123,0.220520146036536,2.41392367313582e-18,2.55977548243897e-15,9.04206345676444e-05,3.32536352214997e-07,-1.0203643539006,0.304507039661723
"64943","NT5DC2",7,1.88843148054079,0.217778082109364,4.27000921153921e-18,4.03790070407709e-15,0,0,1.1459340836819,0.188489004537198
"84790","TUBA1C",7,1.92943939141862,0.222600880182976,4.40906370308199e-18,4.03790070407709e-15,3.19859787825317e-05,1.21154953999276e-07,1.06319018824108,0.264960600689156
"6472","SHMT2",7,2.23551843724421,0.267623654859437,6.642850366311e-17,4.615177557946e-14,19.6302268275181,0.0976078431828624,1.22171698283296,0.116661062768138
"10194","TSHZ1",6,-2.21868882156324,0.269188294850533,1.69151116107555e-16,1.03274445070758e-13,0.00021530191264198,1.06982749798002e-06,-1.19922635815215,0.22625570127915
"57659","ZBTB4",6,-2.1999655171053,0.269844036700889,3.55800003254835e-16,1.99129401821622e-13,0,0,-1.15087792923125,0.140018939188771
"23731","TMEM245",6,-2.16146090814796,0.266269803004266,4.75652519474443e-16,2.59012080064083e-13,0.000433823315162684,2.10039369908726e-06,-1.16090592582557,0.10201079254537
"6676","SPAG4",7,1.77615758294837,0.219533231270417,5.93670424931764e-16,2.9903179303813e-13,3.46746029962154e-05,1.28492433569009e-07,1.38404067315487,0.277502582337543
"3977","LIFR",6,-2.40212853681428,0.299426734392151,1.03677654550154e-15,5.09487166799148e-13,28.1522959521015,0.146780394970979,-1.28231350890631,0.332059407007573
"316","AOX1",6,-1.83213169171872,0.231025937365508,2.18413752000618e-15,1.02339541286243e-12,0.000184467945060807,6.63028563103823e-07,-1.43864416143805,0.242052872202139
"10051","SMC4",7,1.72028099692313,0.217318802788078,2.45406528972648e-15,1.09876683238687e-12,0.000233422523829095,8.42880850174085e-07,1.24973575871497,0.11961190989391
"8654","PDE5A",7,-1.76757035680959,0.223825246135631,2.85467280468935e-15,1.19824890976836e-12,4.18896197266786,0.0156070173258374,-1.12095082813241,0.343784658477208
"7371","UCK2",7,1.70763214371756,0.218594433830233,5.63439357132456e-15,2.10225484583421e-12,1.6466168491071e-06,6.06342337971017e-09,1.16396208636506,0.207566073302093
"8703","B4GALT3",7,1.68321892448146,0.216085435383546,6.72221126828385e-15,2.33515711436867e-12,0.0017000819411077,6.03617108206231e-06,1.01137215325096,0.175951208016775
"51514","DTL",7,1.66945210701985,0.215164016118826,8.56188845894484e-15,2.82794965034132e-12,0,0,1.34781368446883,0.222297676891688
"1063","CENPF",7,1.67216784000869,0.216295112587187,1.0674252976258e-14,3.41372776135945e-12,0.000486961146445225,1.75793514046599e-06,2.00106402498317,0.327671125140767
"70","ACTC1",7,-1.79553160190488,0.232437991584121,1.12049514856101e-14,3.52745878956362e-12,0,0,-4.13524359997481,1.08864137360734
"6659","SOX4",7,1.79746422978991,0.232981479702135,1.20932922073474e-14,3.74854848297900e-12,7.30073727245899,0.028942775310448,1.13540201207178,0.199196387140805
"7102","TSPAN7",7,-1.71555675791093,0.22300872874461,1.43973620380554e-14,4.08560634285548e-12,5.67304413610962,0.0207466425335397,-1.21394549756996,0.16717951113526
"10535","RNASEH2A",7,1.6309752014478,0.2140075457276,2.51502091408859e-14,6.84765424014283e-12,0,0,1.16041478578929,0.176063047087585
"114815","SORCS1",6,-2.67199549025602,0.351147487545152,2.75530287607654e-14,7.25258682403264e-12,25.4647769966673,0.184687684821787,-1.25256595783149,0.22645104755289
"991","CDC20",7,2.31453089247377,0.304201041383036,2.77173508760429e-14,7.25258682403264e-12,32.6191786231237,0.197419173178014,2.7519201629167,0.460098958344809
"23336","SYNM",7,-2.25500927289096,0.297244136333687,3.2894707793855e-14,8.49695605936654e-12,28.7523433898494,0.168054429627022,-3.29914648887353,0.55498820107646
"10460","TACC3",7,1.64367281385922,0.216985867055238,3.59065540988732e-14,9.04306564980122e-12,0.000156695174858173,5.68359073052441e-07,1.29793091413529,0.251001295493578
"3899","AFF3",7,-1.8910173306143,0.249961916428288,3.87203454882297e-14,9.2461882077926e-12,12.1730632173231,0.0545881895459921,-1.43923478588112,0.532836669066929
"9920","KBTBD11",7,-1.62056466730256,0.214239660836623,3.90076433225318e-14,9.2461882077926e-12,0.00185171132389513,6.4789238162768e-06,-1.02615794841632,0.236377055186189
"5915","RARB",7,-2.2881624521091,0.304634749248218,5.86026107368058e-14,1.32665775407322e-11,31.2516152442156,0.191799877808245,-1.2851608779295,0.316805424910305
"3779","KCNMB1",7,-1.65071520778768,0.220884293453366,7.82604617779673e-14,1.69547503645428e-11,0.000587959705907226,2.2300173181386e-06,-2.19160554302609,0.796757338459714
"2194","FASN",7,1.59595197039022,0.214044690596573,8.90789497294515e-14,1.90932199909467e-11,0.0014136810166165,4.94633494588952e-06,1.35701463182939,0.220158872113002
"25849","PARM1",7,-1.56959762231621,0.211804890240751,1.2574582554169e-13,2.58523152348364e-11,0,0,-1.52835462847618,0.322832844939673
"3014","H2AX",6,1.94210228199368,0.262835184066902,1.47881703616312e-13,3.00961673177924e-11,0,0,1.16882100629144,0.116259035305704
"7718","ZNF165",7,1.57085201150299,0.213587313325377,1.91481194714791e-13,3.78365090398389e-11,0.00101147148533913,3.49969111189234e-06,1.04219895869686,0.204637250478387
"5166","PDK4",7,-1.57678959610327,0.214396014606426,1.91548735460769e-13,3.78365090398389e-11,0.000390665865047371,1.38198570777833e-06,-1.57129790713205,0.372383367355297
"3149","HMGB3",7,1.57813169417125,0.216499758780514,3.11569549665721e-13,5.86682550155603e-11,0.00044150582644361,1.59978337555928e-06,1.29368613169913,0.233359766155361
"9833","MELK",7,1.55948834353819,0.214289855874655,3.4013453909254e-13,6.28718412260228e-11,0,0,1.53815547010126,0.237479686283606
"5239","PGM5",7,-1.57688249696195,0.217581595734064,4.25112570242392e-13,7.51330532038922e-11,0.00108032042270208,3.99145929733627e-06,-3.00771591326711,0.969191859370822
"401152","ARLN",6,-1.84254713227991,0.255296193632663,5.3033089028673e-13,9.29139719782351e-11,0.000677657798011248,2.9150082807243e-06,-1.03455949258328,0.227162925850065
"4176","MCM7",7,2.16424239703923,0.300327323323474,5.75016479133738e-13,9.81816273015809e-11,36.1452804652049,0.219356679614368,1.07414950332025,0.10087473210227
"79682","CENPU",6,1.61819151579981,0.225884043310977,7.84622280007609e-13,1.28113556393486e-10,0.000332866608674146,1.13210513642401e-06,1.40804610314417,0.273754798250532
"118429","ANTXR2",6,-1.90077242178193,0.265354456989175,7.88469376255322e-13,1.28113556393486e-10,1.10425051543888e-05,5.35775935577315e-08,-2.12589056394476,0.547137549592684
"9636","ISG15",7,1.49885121202489,0.209746368859205,8.93317086646177e-13,1.406136926699e-10,0,0,1.41898517925254,0.333210692457525
"2621","GAS6",7,-1.54779985194045,0.218673056594745,1.46095615827787e-12,2.13036430977179e-10,0.000532900256265166,1.97558559730633e-06,-1.17457421867167,0.22659452386792
"59353","TMEM35A",7,-1.50239514536027,0.214351276520134,2.39971058528798e-12,3.31160060769741e-10,0.000191771200841471,6.69751084489548e-07,-1.14139397235014,0.215049595270025
"51119","SBDS",6,-1.79740122668345,0.256672809596249,2.51086265013544e-12,3.41816626181952e-10,0.000521518235443444,2.29405572015918e-06,-1.02199462778314,0.143528256953992
"27115","PDE7B",7,-1.45627554214506,0.209289560221144,3.44683661793437e-12,4.48044285020269e-10,0.000535535123098076,1.75996483144899e-06,-1.14181659088844,0.224508559964054
"6096","RORB",6,-2.27633808531447,0.329232326628802,4.70915029945351e-12,5.96729309643959e-10,38.6951364238978,0.236497341819658,-1.07538625010277,0.234236915879109
"2177","FANCD2",6,1.79731803930327,0.261142167122849,5.87999788833242e-12,7.31297515148899e-10,0.000265478150512697,1.23093647075558e-06,1.37794261595762,0.342552186308529
"283927","NUDT7",4,-2.25794141897795,0.329815437325796,7.59033760375065e-12,9.15749233774659e-10,0.000971118112208738,5.50583322047607e-06,-1.21000069817924,0.46443313715147
"51599","LSR",7,2.13344232858251,0.31334618901179,9.85673567109932e-12,1.15461343198435e-09,39.5853181393624,0.255613222962784,1.40057982933193,0.102363415733042
"27303","RBMS3",7,-2.22224603480688,0.326446399768487,9.93893135393543e-12,1.15751207467683e-09,40.7256302214914,0.278272534949979,-1.00579909919386,0.177460464391185
"3875","KRT18",7,1.43728175861415,0.211308665653895,1.03311565442713e-11,1.19627667847114e-09,0.000489338193687997,1.64561145635011e-06,1.12790653775762,0.132182260082686
"9639","ARHGEF10",7,-1.4434670037057,0.21236507014835,1.06744663342445e-11,1.22896655829919e-09,0.000611537392296082,2.11252588580716e-06,-1.0441180507602,0.249551174355844
"90627","STARD13",6,-1.57598660335007,0.234163735504181,1.69341390085058e-11,1.88502228035014e-09,0.000927529991823706,3.50157180329851e-06,-1.00332161731226,0.282034468707647
"150468","CKAP2L",6,1.71728283060728,0.255978284914689,1.96359010591047e-11,2.16188051660569e-09,0,0,1.6393928798345,0.289535890257631
"65055","REEP1",7,-1.49980475111488,0.22383569565802,2.07747788395321e-11,2.2625418597778e-09,0,0,-2.49672423458333,0.718822586336132
"7422","VEGFA",7,2.03186854642726,0.303381951334649,2.12168611142848e-11,2.29826514908931e-09,37.3309219836475,0.22932242982042,1.44772079548875,0.306799055151703
"114757","CYGB",6,-1.70608704618843,0.255842046891118,2.58401074709971e-11,2.74013939645079e-09,0.00121438588045275,5.33598808404111e-06,-1.08245650654093,0.261995774622784
"9055","PRC1",7,2.0438382125166,0.309871378386353,4.23073944384888e-11,4.28346423691795e-09,37.0328283582932,0.228972777796648,2.10151833114355,0.240660612301192
"84366","PRAC1",5,-2.24973688601278,0.341225486796926,4.30709614981685e-11,4.33896866132549e-09,22.9160979222253,0.135637886734174,-1.984781645354,0.669643854451743
"4171","MCM2",7,1.39200321798811,0.211183082923109,4.35544759729857e-11,4.36584866618764e-09,0.00107734434364813,3.68826464032809e-06,1.26071985663633,0.275275651041284
"6456","SH3GL2",7,-1.62860430076929,0.248866132656355,5.98556358338687e-11,5.79793918644609e-09,19.8166811122514,0.0850450790539798,-1.55006209951507,0.384180324604246
"4629","MYH11",7,-1.93722129992989,0.297592231221906,7.53260509232027e-11,7.12520785915816e-09,33.698390861651,0.194973014349719,-3.16655080697158,0.583742775600626
"152926","PPM1K",6,-1.66444798623852,0.255912062084992,7.82201609840386e-11,7.34064499216053e-09,0.000508854379838248,2.24951014735723e-06,-1.10823544936982,0.134853804876004
"2810","SFN",7,1.363725457544,0.209882779478521,8.1634419149196e-11,7.61467720841667e-09,1.75703520339621,0.00573162768759468,1.47844240111644,0.348834261547842
"7153","TOP2A",7,2.25943284674526,0.347779691656205,8.20813068372266e-11,7.62107912514489e-09,46.6945227599874,0.354625986994291,3.2809856837147,0.420726992065234
"388228","SBK1",6,1.62098291315701,0.249970839816839,8.89155719529863e-11,8.21775662251728e-09,0,0,1.58224152489461,0.46490962795118
"401115","NICOL1",6,1.65595366577162,0.255893659763093,9.71908909517458e-11,8.78117520581064e-09,0.000230899373580691,1.01506929729601e-06,1.39266729477999,0.336473970575256
"89958","SAPCD2",6,1.61699159164924,0.250851582452422,1.14833744679107e-10,1.02374791495338e-08,0,0,1.22922719778274,0.353647498465493
"3872","KRT17",7,1.32916607229844,0.206622377535268,1.2525193233681e-10,1.10199822389609e-08,0,0,1.81490184798168,0.426023255202942
"8854","ALDH1A2",7,-1.32590627536212,0.206662046015404,1.40067811196825e-10,1.21641649137656e-08,0.00207639558145666,6.58211030009142e-06,-1.09026050939603,0.214904207672692
"10894","LYVE1",7,-1.42777898380113,0.223890135681492,1.80424233996767e-10,1.50837654214393e-08,6.56668900038646,0.0242059314697255,-1.34975228156443,0.387543915034041
"83959","SLC4A11",6,1.59713114460831,0.250477279341293,1.81356576690722e-10,1.50990591205152e-08,2.44281793391823e-05,1.00748848893704e-07,1.24937807313474,0.312824609536613
"9123","SLC16A3",7,1.35511809254878,0.212699151701351,1.87731730995009e-10,1.55655099427467e-08,1.48604753353401,0.00509315525779606,1.16423908366381,0.275068935620857
"51435","SCARA3",7,-1.80746126819264,0.284376077210198,2.07231801510313e-10,1.70420666809379e-08,27.4463592188059,0.148122232600918,-1.29417750494234,0.359728177121429
"221303","FAM162B",5,-1.69238164149059,0.266710782498694,2.2187505441172e-10,1.79234207120994e-08,0,0,-1.1760328129736,0.272049719348664
"29128","UHRF1",6,2.35673231654674,0.371960181898649,2.35837203683565e-10,1.87812173115275e-08,33.8378610522941,0.268550697583154,2.27397340586653,0.472565763728371
"8742","TNFSF12",7,-1.57302717099159,0.248507552849563,2.45325176684861e-10,1.94598884245928e-08,17.471568991349,0.0752765806214532,-1.18607573525247,0.399086491394634
"23017","FAIM2",7,-2.2182323507826,0.350571530933843,2.49206467377014e-10,1.96133277527816e-08,49.6008143658612,0.392911795096534,-1.16058230102642,0.248670592633193
"55885","LMO3",7,-1.32346652331316,0.209215656164677,2.51844984816167e-10,1.97438628563274e-08,0,0,-1.03067185802757,0.278337812963635
"1058","CENPA",7,1.3281424262293,0.210109153597842,2.595362943432e-10,2.0189719144505e-08,0,0,1.1961654542801,0.240003555604887
"163183","SYNE4",6,1.594795433934,0.253139572296201,2.97523320265797e-10,2.27064388511942e-08,0.000994711006281164,4.22448247411754e-06,1.34754318893727,0.354544434561679
"116159","CYYR1",6,-1.5648159664037,0.249490505291255,3.56333891312439e-10,2.64923071666532e-08,0.000162697339641959,6.67372862797712e-07,-1.16120555357767,0.211086520436216
"54749","EPDR1",6,-1.54713256553508,0.247328782239469,3.96579489485998e-10,2.90555765605959e-08,0,0,-1.54263313834991,0.312715527487913
"9212","AURKB",7,1.82887033485729,0.29266775151139,4.13183301051726e-10,3.0162380976776e-08,35.1708091546893,0.197477801354426,1.64326859868282,0.326591312070079
"55165","CEP55",7,1.683863836069,0.270654129121412,4.92549764408399e-10,3.46989253611903e-08,25.8255518865882,0.127220917776841,1.78075175536454,0.272392461567176
"144402","CPNE8",6,-1.57793676232534,0.253953943323822,5.18251115699966e-10,3.61714347752134e-08,2.4172865600914,0.0100429986952994,-1.07405465571051,0.133885012864179
"51203","NUSAP1",7,2.30086734364062,0.371444025040963,5.85129970652244e-10,4.00303556822294e-08,52.6623854512882,0.450773217373039,2.66134137611507,0.356259797454733
"10615","SPAG5",7,1.54918408405853,0.25136045564807,7.12905843048613e-10,4.60673479365097e-08,21.261792323801,0.0924614273131667,1.02200373977858,0.192128945546259
"8313","AXIN2",6,-1.51225848670964,0.245909312689451,7.76495725706703e-10,4.93527945789863e-08,0,0,-1.10929428656002,0.195549501127424
"7108","TM7SF2",7,1.28444306011209,0.210110617879419,9.76679208544525e-10,5.98119534764593e-08,0.0021184992402243,7.1401775313242e-06,1.0462037534368,0.311461756777018
"11130","ZWINT",6,1.39804650681757,0.229874664496189,1.18857613395414e-09,7.00217308389126e-08,0.000404754056878414,1.46602323332312e-06,1.27595924863231,0.463073157099706
"217","ALDH2",7,-1.37086401379249,0.226444114198207,1.41403700557832e-09,8.18678666333102e-08,10.9663499010739,0.0403109983209838,-1.59395686034857,0.324573840985787
"64151","NCAPG",7,1.95816451910194,0.32544536244162,1.77814749148609e-09,1.01490412630204e-07,43.5272052077854,0.293312405572884,1.87814162663588,0.316001806806415
"3209","HOXA13",6,-1.50383191612416,0.250209387216922,1.85187470046774e-09,1.04514205784381e-07,0.000148240608762167,6.18521546921556e-07,-1.5025665726032,0.193135173018838
