"","GSE13507_logFC","GSE13507_SE","GSE13507_logFC_scaled","GSE13507_SE_scaled","GSE3167_logFC","GSE3167_SE","GSE3167_logFC_scaled","GSE3167_SE_scaled","GSE37817_logFC","GSE37817_SE","GSE37817_logFC_scaled","GSE37817_SE_scaled","GSE52519_logFC","GSE52519_SE","GSE52519_logFC_scaled","GSE52519_SE_scaled","GSE65635_logFC","GSE65635_SE","GSE65635_logFC_scaled","GSE65635_SE_scaled","GSE7476_logFC","GSE7476_SE","GSE7476_logFC_scaled","GSE7476_SE_scaled","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"1",-0.000811497829966257,0.0376775373366262,0.0504337243777185,0.0830687816202625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0363128776627555,0.0981831417087364,-0.0120272103109159,0.143540028979836,0.0368463862954806,0.103186286753729,0.132155617281984,0.237434716052546
"10",-0.0284717095368459,0.0475391796880451,-0.0105495629672169,0.104811036364465,-0.681109173718025,0.156421218308264,-1.14259288719134,0.245877236609484,-0.0686666666666653,0.0563025337675135,-0.089169237817678,0.114530530066496,NA,NA,NA,NA,-0.138685310996575,0.0592099553819258,-0.121725585158522,0.0560887673690159,-0.0813155617460666,0.0931285084976003,-0.0778194274376782,0.136150346953146,0.0542232742391673,0.186032704557124,0.172140353476952,0.428066788452506
"100",0.505982379004331,0.342790983081236,1.16777718303074,0.755761425184485,-0.230548630192486,0.1672014174928,-0.434360445547749,0.262822543737637,0.510666666666667,0.472685837776602,1.08930976324891,0.961536824950445,1.23006508054945,0.347231667990084,1.71238124062772,0.480910795717938,0.450356447519883,0.563565701807893,0.436265481562511,0.533857952467029,0.423006429408863,0.572517221200094,0.659480194123582,0.836998461164582,0.399979795353173,0.0977232363417468,0.967736396291754,0.224864074505521
"1000",-0.606543573614569,0.452067336973672,-1.28504170954418,0.996686236608534,-0.286549424240559,0.0981624679913538,-0.522387636726771,0.154300782397153,-1.176,0.746979299628895,-2.34170504998293,1.51950417521993,-0.0373537503533399,0.506914146186753,-0.042975354597248,0.702068699017142,-2.57527334124929,0.435290643188235,-2.42987154340883,0.41234477320932,-0.456799988852184,0.281110112207203,-0.626763417315049,0.410972321220358,0.228539384667221,0.312360467503296,0.573246910219809,0.718750729781501
"10000",0.0430422912899484,0.0605284968004937,0.147119471088717,0.133448968216806,-0.782202285624047,0.209440883393837,-1.30150032484292,0.329218415499356,-0.0213333333333301,0.0359038496508814,0.00711615812677636,0.0730355573147563,NA,NA,NA,NA,-0.177115930436082,0.114606920979165,-0.158130376543446,0.108565542537832,-2.30765577334454,0.476193348531047,-3.33264436917595,0.69617661299658,-1.90125633515637,0.541807788813375,-4.32747641160249,1.24671584315261
"100008586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0381892065248945,0.0647614398615141,-0.0405035144266825,0.149018000050448
"100008587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0388507849914621,0.121904934967957,0.136767798320849,0.280506882553123
"100008588",NA,NA,NA,NA,NA,NA,NA,NA,0.742666666666665,0.242461859034405,1.56124381661043,0.493215551377928,NA,NA,NA,NA,-0.399002185700027,0.394668561201813,-0.368320140639781,0.373864039827836,NA,NA,NA,NA,NA,NA,NA,NA
"100008589",1.42003368245974,0.414360273509319,3.1830131428036,0.913552357860658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479757022792185,0.605808981863029,0.46411623767821,0.573874424234882,NA,NA,NA,NA,NA,NA,NA,NA
"100009676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193649549485489,0.239047172363868,0.193090606780086,0.226446062228091,0.11371934543557,0.149904542979265,0.207314208965817,0.219154755785718,0.0436743834467235,0.202148074715695,0.147867041889037,0.465148734688387
