"ENTREZID","logFC","p.value","FDR","significance"
"9901",-2.99242064776787,6.64579550906551e-07,0.00867076940067777,"significant"
"2731",-2.4819820420969,5.43120401545862e-06,0.0214716034820624,"significant"
"348094",-2.03564676732061,8.84543502517731e-06,0.0214716034820624,"significant"
"55214",-1.98271273642633,9.87427154843064e-06,0.0214716034820624,"significant"
"57475",-1.91598242977958,9.06882485002751e-06,0.0214716034820624,"significant"
"9890",-3.01146724798586,7.11429705867631e-06,0.0214716034820624,"significant"
"53905",-1.59533136133779,1.33644966102566e-05,0.0249095124677169,"significant"
"166824",-1.95402377696595,2.21026694491586e-05,0.0262157753002883,"significant"
"342035",-2.04518859878694,2.15480499245599e-05,0.0262157753002883,"significant"
"6446",2.78078611823242,1.74050216955304e-05,0.0262157753002883,"significant"
"9536",-1.45032860364189,2.03362473013654e-05,0.0262157753002883,"significant"
"4088",-1.93274986197802,2.63768700879877e-05,0.0286782520031647,"significant"
"10062",-1.94857180071432,3.71588076015232e-05,0.0319286289896236,"significant"
"11065",4.22850658578385,3.91552129864319e-05,0.0319286289896236,"significant"
"3205",-3.22910651435087,3.65137771133451e-05,0.0319286289896236,"significant"
"7140",-2.88265968784496,3.72886061377407e-05,0.0319286289896236,"significant"
"4137",-2.24277920411546,4.41098358427517e-05,0.0338530016611989,"significant"
"10221",2.74439289437146,4.84999628222053e-05,0.0344471756968099,"significant"
"10395",-3.17121814398333,5.01645081811441e-05,0.0344471756968099,"significant"
"4621",-2.83855908794625,6.47498221525117e-05,0.042239546481191,"significant"
"9997",1.49886076757155,6.8270207753614e-05,0.0424153047886382,"significant"
"113130",3.44974624311985,7.84333787573273e-05,0.0426383455269521,"significant"
"4175",1.58243278933248,7.35860013646334e-05,0.0426383455269521,"significant"
"6510",-1.93314368213926,7.76033910198946e-05,0.0426383455269521,"significant"
"10257",-1.71672610492828,8.20724992313793e-05,0.042761261938106,"significant"
"22822",2.69872452955203,9.34268397055344e-05,0.042761261938106,"significant"
"3485",-2.87727204838368,0.000105664842069447,0.042761261938106,"significant"
"4908",-1.78016174497851,0.000102992549463135,0.042761261938106,"significant"
"4957",1.10989231779374,0.000108535392823318,0.042761261938106,"significant"
"5226",1.65211767504681,0.000104850404433903,0.042761261938106,"significant"
"60370",-1.98247809214645,0.000110525823720943,0.042761261938106,"significant"
"645625",2.14494799204339,0.000105710129218079,0.042761261938106,"significant"
"80727",1.94207298185692,0.000111434268866069,0.042761261938106,"significant"
"9133",3.59440011713142,8.65412190834104e-05,0.042761261938106,"significant"
"883",-1.80163590841234,0.000117029759619158,0.0436253506786043,"significant"
"84790",1.66375905695606,0.000136476063215836,0.0484743421387196,"significant"
"991",3.78801080453364,0.000137468434056306,0.0484743421387196,"significant"
"8516",-1.41476601808671,0.000141791621923156,0.0486830339797742,"significant"
"2318",-4.70878599771048,0.000164289984723311,0.0510355102544056,"not significant"
"29128",3.2787717160141,0.000162717423472251,0.0510355102544056,"not significant"
"55650",-0.971265882895012,0.000159297383692493,0.0510355102544056,"not significant"
"8337",2.82167459444541,0.000162611502514806,0.0510355102544056,"not significant"
"10112",2.81124595995677,0.000201479210189195,0.0517308749640799,"not significant"
"1175",1.24249088513004,0.000195042336928758,0.0517308749640799,"not significant"
"134549",-2.99748916827184,0.00020617808677337,0.0517308749640799,"not significant"
"171425",-1.56072348739411,0.000204539915707505,0.0517308749640799,"not significant"
"2167",-3.73202265052941,0.000191883504188292,0.0517308749640799,"not significant"
"51203",3.0575952033594,0.000185128028282842,0.0517308749640799,"not significant"
"6653",-2.08589823725024,0.000201856853420294,0.0517308749640799,"not significant"
"6790",2.44932751296268,0.000172189802189581,0.0517308749640799,"not significant"
"7153",3.60379488647779,0.000179149966618692,0.0517308749640799,"not significant"
"80042",-1.49370669052474,0.00019006970433569,0.0517308749640799,"not significant"
"124751",-1.19475620177019,0.000220973018836994,0.0527286569788208,"not significant"
"22837",-1.533997151516,0.000222279154888874,0.0527286569788208,"not significant"
"54932",-1.18706844127423,0.000221913879080349,0.0527286569788208,"not significant"
"10381",3.46002077168485,0.00022953437382979,0.0532212224305603,"not significant"
"23731",-1.43066053126047,0.000240672347926961,0.0532212224305603,"not significant"
"3576",5.14736868985736,0.000233895256601635,0.0532212224305603,"not significant"
"7905",-1.27333026212326,0.000237875986470922,0.0532212224305603,"not significant"
"10095",1.87894767821754,0.000274498160093722,0.0548561647558577,"not significant"
"10138",-1.06103009335879,0.000275068137996744,0.0548561647558577,"not significant"
"163259",-2.03663385958365,0.000257442489153936,0.0548561647558577,"not significant"
"23327",-2.20585924344599,0.000253949049529646,0.0548561647558577,"not significant"
"8140",2.10990022059115,0.000265939324926746,0.0548561647558577,"not significant"
"84210",-2.22644246759635,0.000264234389390246,0.0548561647558577,"not significant"
"9055",2.85569857925401,0.000277497269401901,0.0548561647558577,"not significant"
"114035",-2.83576339976615,0.000284211526396197,0.0553448923118087,"not significant"
"648140",1.28551129622366,0.000289842442911192,0.0556113875391518,"not significant"
"1164",2.37998666560836,0.000314169849629997,0.0563630893664793,"not significant"
"1674",-5.51197573112269,0.000315360276213152,0.0563630893664793,"not significant"
"178",-1.38561161076079,0.000302801407434919,0.0563630893664793,"not significant"
"23192",1.4813317761804,0.00030709985033735,0.0563630893664793,"not significant"
"644330",1.62276354449976,0.000312834989024315,0.0563630893664793,"not significant"
"890",2.5177352232311,0.000368864609208223,0.0650348183289147,"not significant"
"10460",1.72225996395486,0.000401746494821591,0.066018542359113,"not significant"
"10559",-1.69341279662349,0.000408516340070846,0.066018542359113,"not significant"
"124222",1.79333246682198,0.000447152354119735,0.066018542359113,"not significant"
"125893",-1.6566957916622,0.000417292838109641,0.066018542359113,"not significant"
"203068",1.83672631058858,0.000445548567717849,0.066018542359113,"not significant"
"23336",-5.05910403430224,0.000468478996535524,0.066018542359113,"not significant"
"262",1.5412755853305,0.000466892324766894,0.066018542359113,"not significant"
