"ENTREZID","logFC","p.value","FDR","significance"
"2634",-1.27135449533553,3.99606908488015e-05,0.321505996559074,"not significant"
"333932",1.65492228841269,2.83121302524688e-05,0.321505996559074,"not significant"
"79608",-1.54877803140347,4.03395227803104e-05,0.321505996559074,"not significant"
"100033413",-1.34951815892688,0.00219916729988437,0.427011774709758,"not significant"
"100033414",-1.57418245782755,0.00315197123993887,0.427011774709758,"not significant"
"100033415",-1.47065294265525,0.00232930787799216,0.427011774709758,"not significant"
"100033417",-1.48304016477532,0.00545574138541028,0.427011774709758,"not significant"
"100033419",-1.48304016477532,0.00545574138541028,0.427011774709758,"not significant"
"100033420",-1.71138833733423,0.00137983958335288,0.427011774709758,"not significant"
"100033421",-1.47065294265525,0.00232930787799216,0.427011774709758,"not significant"
"100033423",-0.730430945011638,0.00289564433076009,0.427011774709758,"not significant"
"100033434",-1.26577250728461,0.00530893896340488,0.427011774709758,"not significant"
"100033438",-1.5183003595149,0.00420498282546479,0.427011774709758,"not significant"
"100033442",-2.78065799304325,0.00524373854389123,0.427011774709758,"not significant"
"100033448",-2.94909130627221,0.00496842117249757,0.427011774709758,"not significant"
"100033453",-3.09414196302663,0.00551847086513238,0.427011774709758,"not significant"
"100033801",-1.21842328489197,0.00140676577828028,0.427011774709758,"not significant"
"100033803",-2.94909130627221,0.00496842117249757,0.427011774709758,"not significant"
"100033805",-1.27199306922754,0.00157252497390093,0.427011774709758,"not significant"
"100033806",-1.98731466474971,0.00339663757526011,0.427011774709758,"not significant"
"100033812",-1.03615740057837,0.000731725810062239,0.427011774709758,"not significant"
"100033813",-0.971559677925009,0.00107533306297121,0.427011774709758,"not significant"
"100033815",-1.13187744120426,0.00142775675102511,0.427011774709758,"not significant"
"100033817",-2.94909130627221,0.00496842117249757,0.427011774709758,"not significant"
"100033818",-1.93497042517204,0.00352322032292157,0.427011774709758,"not significant"
"100033821",-1.39894983735752,0.000581071961115363,0.427011774709758,"not significant"
"100505573",-0.791009694613777,0.00491913466974618,0.427011774709758,"not significant"
"100506881",-0.507507511631942,0.00467539867747018,0.427011774709758,"not significant"
"100507098",-2.48032548905977,0.00365852938716449,0.427011774709758,"not significant"
