"ENTREZID","logFC","p.value","FDR","significance"
"3670",-3.95866666666666,4.72934480171609e-12,8.93136765804083e-08,"significant"
"1776",-1.46922222222222,1.95744912899144e-10,1.84832134005017e-06,"significant"
"2123",-0.480111111111105,4.04484614711177e-09,2.54623064960686e-05,"not significant"
"9595",-1.20777777777778,2.62975015777269e-08,0.000124157079323843,"significant"
"862",-0.435222222222219,5.19921560253882e-08,0.000196374373307891,"not significant"
"8320",-1.81666666666666,6.6776955053944e-08,0.000210180466032289,"significant"
"313",-0.883888888888884,9.77425793809547e-08,0.000218440196187159,"not significant"
"3394",-1.86611111111111,9.04618949386097e-08,0.000218440196187159,"significant"
"5341",-1.50566666666666,1.04101761487129e-07,0.000218440196187159,"significant"
"54900",-0.82622222222222,1.64237710957109e-07,0.000221544940816072,"not significant"
"596",-1.48911111111111,1.30527456518634e-07,0.000221544940816072,"significant"
"64333",-1.595,1.6211062492789e-07,0.000221544940816072,"significant"
"7454",-1.72188888888889,1.41497981829838e-07,0.000221544940816072,"significant"
"963",-0.85822222222222,1.20333683193216e-07,0.000221544940816072,"not significant"
"23194",-0.741888888888885,2.00301907583987e-07,0.00025218010164824,"not significant"
"6039",-1.65777777777777,2.20769420615685e-07,0.00026057690677045,"significant"
"1794",-1.75488888888889,2.89099297428664e-07,0.000272982011597016,"significant"
"29909",-1.50644444444444,2.48908934429297e-07,0.000272982011597016,"significant"
"729230",-0.342444444444443,2.69808089006713e-07,0.000272982011597016,"not significant"
"7447",-0.851777777777779,2.81333193174257e-07,0.000272982011597016,"not significant"
"10870",-2.24522222222222,3.10488886562745e-07,0.000279218220130354,"significant"
"26002",-3.13644444444444,4.00479419058082e-07,0.000316238029618321,"significant"
"6096",-1.697,3.84767849279042e-07,0.000316238029618321,"significant"
"912",-1.01444444444444,4.01891062263156e-07,0.000316238029618321,"significant"
"216",-4.05477777777777,4.33792896102513e-07,0.000327687153715838,"significant"
"11170",-2.89933333333333,5.6724352781455e-07,0.000354268445822319,"significant"
"27128",-1.32233333333333,5.69682493591058e-07,0.000354268445822319,"significant"
"441168",-2.07288888888889,5.31146131661165e-07,0.000354268445822319,"significant"
"50856",-0.690999999999998,5.61460134252814e-07,0.000354268445822319,"not significant"
"5126",-0.60744444444444,6.14260472722218e-07,0.000354268445822319,"not significant"
"5730",-3.11033333333333,6.24293669373593e-07,0.000354268445822319,"significant"
"81793",-0.510888888888887,6.19078144226921e-07,0.000354268445822319,"not significant"
"8707",-0.613222222222221,5.08426318127052e-07,0.000354268445822319,"not significant"
"962",-1.82266666666666,6.37814517233722e-07,0.000354268445822319,"significant"
"168537",-1.69033333333333,6.90533001582736e-07,0.000362242103746944,"significant"
"199",-1.72911111111111,6.79830442841147e-07,0.000362242103746944,"significant"
"3131",-0.989888888888887,7.9327629351268e-07,0.000393452470558834,"not significant"
"7456",-2.29944444444444,8.12530916165979e-07,0.000393452470558834,"significant"
"9343",0.843000000000004,8.07447938019445e-07,0.000393452470558834,"not significant"
"140597",-3.13133333333333,8.80199205552338e-07,0.000405428341386729,"significant"
"3702",-1.60288888888889,8.75893022293615e-07,0.000405428341386729,"significant"
"6503",-1.59566666666666,9.23887313845531e-07,0.000415419331475544,"significant"
"51537",1.76055555555556,1.02113802248532e-06,0.000448469571038031,"significant"
"54440",-1.15022222222222,1.09454068732404e-06,0.000459395780033761,"significant"
"54504",-1.98444444444444,1.11899422195144e-06,0.000459395780033761,"significant"
"6363",-1.63033333333333,1.11360333542316e-06,0.000459395780033761,"significant"
"170575",-1.29566666666666,1.18607679183928e-06,0.000476575749231592,"significant"
"27334",-0.471666666666663,1.21778766374674e-06,0.000479123333955359,"not significant"
