"ENTREZID","logFC","p.value","FDR","significance"
"5241",-3.33418795259299,3.17046368793831e-13,6.77052520559226e-09,"significant"
"100506542",-3.75368356671431,9.06884393491353e-13,6.9224599261677e-09,"significant"
"286133",-5.15685008177478,9.72483248817752e-13,6.9224599261677e-09,"significant"
"283298",-2.95576202970576,1.58987292082632e-12,8.48793405606152e-09,"significant"
"7123",-4.16515846095405,2.09237906768356e-12,8.9365509980765e-09,"significant"
"399959",-5.32118364019034,2.95229941091658e-12,1.05077256533539e-08,"significant"
"1675",-4.88186428725961,4.79184505747341e-12,1.14673374753822e-08,"significant"
"23743",-2.42278323850855,4.83287460915194e-12,1.14673374753822e-08,"significant"
"55273",-2.53334345702343,4.30728766415361e-12,1.14673374753822e-08,"significant"
"116535",-4.04521422356281,1.0074819535757e-11,2.15147771186091e-08,"significant"
"27122",-2.4406513395485,3.01158317990997e-11,5.84657807336158e-08,"significant"
"11096",-2.74505237545587,3.89066950113961e-11,6.80151607043002e-08,"significant"
"145581",-1.96203057140646,4.45896628358793e-11,6.80151607043002e-08,"significant"
"256691",-3.69926081544752,4.16060954909555e-11,6.80151607043002e-08,"significant"
"28513",-3.07451167384302,5.02447410223883e-11,7.15317629688735e-08,"significant"
"23114",-2.80839518274414,5.79735218651172e-11,7.73765349643486e-08,"significant"
"9890",-4.46298878829376,7.06571041926456e-11,8.87577917667028e-08,"significant"
"100507098",-2.98982806746987,9.98426160504478e-11,1.18452170319851e-07,"significant"
"59271",-2.57944546324398,1.05922088138249e-10,1.19050852220648e-07,"significant"
"140597",-2.69285250941117,1.64336973876167e-10,1.49601726745154e-07,"significant"
"23024",-3.42870758437659,1.70621105852143e-10,1.49601726745154e-07,"significant"
"4239",-3.78936171076766,1.75136650368947e-10,1.49601726745154e-07,"significant"
"5332",-3.20948596197727,1.68325571712188e-10,1.49601726745154e-07,"significant"
"54796",-2.38694688196796,1.64438561362089e-10,1.49601726745154e-07,"significant"
"85458",-4.0317264022241,1.59430473078653e-10,1.49601726745154e-07,"significant"
"287",-3.61745868547472,2.04087651406376e-10,1.67626607530121e-07,"significant"
"4916",-2.31915862259066,2.21079216532438e-10,1.74857284038897e-07,"significant"
"285195",-2.10831091702674,2.72895291927841e-10,2.08131391397109e-07,"significant"
"5740",-4.75562893206682,3.03291895483998e-10,2.08928981550348e-07,"significant"
"6622",-2.43872443932431,2.88297862290522e-10,2.08928981550348e-07,"significant"
"8406",-5.50217593976482,2.97552897280414e-10,2.08928981550348e-07,"significant"
"2690",-2.89609461188926,3.15163949268983e-10,2.10322691769973e-07,"significant"
"10516",-3.30635788669505,3.36631572250962e-10,2.1243308899532e-07,"significant"
"93166",-3.27940263434657,3.38221729142631e-10,2.1243308899532e-07,"significant"
"26002",-3.34092543005117,3.6667361691015e-10,2.23723288260464e-07,"significant"
"55022",-3.27254212661561,4.08786201637606e-10,2.4194873464945e-07,"significant"
"9353",-4.22776885691828,4.19204082511339e-10,2.4194873464945e-07,"significant"
"1805",-3.4318509930826,4.88347737586807e-10,2.60716648404157e-07,"significant"
