"logFC_meta","SE_meta","p_meta","I2","tau2","Gene","Symbol","FDR"
0.0125369809978097,0.0313268613069992,0.147937397698986,0,0,"1","A1BG",0.341765926220881
-0.0933283827009213,0.170185563587172,0.260888188796955,89.7663760098033,0.115619698447994,"10","NAT2",0.474350888081665
0.314526730111832,0.279899518274778,0.0452465962792324,70.2578765237282,0.427625869792563,"100","ADA",0.174659457831881
-0.379263891757477,0.41881526789488,0.0693814711443404,80.1042520891046,0.845896879647803,"1000","CDH2",0.221609281148365
-0.0288502248107267,0.73155284758323,0.151932184528174,99.1424121227205,2.59278675510184,"10000","AKT3",0.347251402010446
0.110072579819589,0.0122531515777594,0.00392404515904283,0,0,"100009676","ZBTB11-AS1",0.0522656004207133
0.302366280735849,0.205375309914083,0.0481043146780776,58.3213271832487,0.14861029153363,"10001","MED6",0.180882119456486
-0.0326970262014258,0.181132570040485,0.721775638177555,94.4542027334673,0.154682358892527,"10002","NR2E3",0.840047526253335
-0.317991178915189,0.370821156298573,0.0246609585197031,97.9879460338311,0.759127547678465,"10003","NAALAD2",0.125484973321399
0.0161364062263477,0.0794580287204874,0.542750949514503,35.8197934733021,0.012756484221796,"100038246","TLX1NB",0.717671012666207
-0.531331382922734,0.240107267392298,0.0103451746061338,82.3486580630614,0.335521350361209,"10004","NAALADL1",0.0813288534218436
0.0165541854684288,0.0168505167381247,0.0303718620572605,0,0,"100048912","CDKN2B-AS1",0.140234050227713
0.234032857815361,0.11133243564586,0.0106240563968297,26.1453445700901,0.0270480238673111,"10005","ACOT8",0.0821895607197138
0.0826526329504307,0.289188185284757,0.359799687333146,81.8429626501693,0.394962402790177,"10006","ABI1",0.572027835318935
0.162374584319942,0.249787783523718,0.333292075797647,68.1656948148598,0.306168854913193,"10007","GNPDA1",0.547961223124426
0.0703688842640243,0.0803906202586415,0.0891617364234524,0.0193809250035334,5.19261033161538e-06,"10008","KCNE3",0.254057896188763
0.0648557453477796,0.262609041279907,0.0893535006155966,89.5218950738891,0.41817204772255,"10009","ZBTB33",0.254348773477631
1.0869597079714,0.319525025924359,0.00144393883402134,22.1202995362961,0.169309608126591,"1001","CDH3",0.0359961241449449
-0.099527229045589,0.185321721460382,0.317230302432178,54.4527169753283,0.131610268776532,"10010","TANK",0.531708498418855
0.335665836007261,0.0859701567927878,0.0062363546680754,0,0,"100101266","HAVCR1P1",0.063450184236555
0.0836476190078814,0.114776330705212,0.319497805302708,0.000444604792850788,2.34121118760865e-07,"100101467","ZSCAN30",0.534264405065416
-0.114280019564341,0.307198678122426,0.30556009292492,80.5882363990427,0.394291681477655,"10011","SRA1",0.519990956820354
-0.580966853485312,0.470109949826897,0.197640884331199,77.4414625045724,0.500965678604798,"100113407","TMEM170B",0.402818107720114
-0.169902773147384,0.0182853472687645,0.0015342695961981,0,0,"100124700","HOTAIR",0.0363685365306338
-0.240386837291097,0.275900567730281,0.279732464796883,83.3374049977941,0.252252113946302,"100126791","EGOT",0.494009386991634
0.185364312224574,0.0562091798892984,0.0585596544779257,0,0,"100126793","GHRLOS",0.20189701171621
