"logFC_meta","SE_meta","p_meta","I2","tau2","Gene","Symbol","FDR"
1.0869597079714,0.319525025924359,0.00144393883402134,22.1202995362961,0.169309608126591,"1001","CDH3",0.0359961241449449
2.26519236816102,0.489836274627355,0.00200757134571765,53.5422204636104,0.633579377649554,"100133941","CD24",0.0402813991628308
1.18572773942466,0.250027824042975,0.000377397566503089,25.9860634314526,0.0909107039609237,"10051","SMC4",0.0217841661237958
1.65976016146141,0.606438694057776,0.00143741534727752,84.5459847745575,2.10050823270423,"10112","KIF20A",0.0359654259793499
1.09269004346394,0.323324492346326,0.000777832305987001,47.2538193607193,0.354261321828481,"1033","CDKN3",0.0292058560734161
-2.89596819395369,0.887102045258399,0.00248686461344252,91.6737341816947,4.9901035569913,"10351","ABCA8",0.0432877797689741
-4.49994246553776,0.48024436478012,4.50892079662405e-05,63.1450556537895,1.07733891057681,"10398","MYL9",0.0103077109712216
-2.38811309437814,0.691294872420721,0.00187250784853297,77.770472589442,2.45586563809981,"10418","SPON1",0.0395912769407019
-1.09291948471567,0.461521576896499,0.00238653121896672,78.7497131621838,1.10967178075914,"10486","CAP2",0.0425690476435888
-2.07127859866964,0.558776341648222,0.00231721617449944,90.1755898644998,1.93665849547667,"10516","FBLN5",0.0422718455027089
1.07395378575418,0.271436369661265,0.00040139354144349,55.7273857193225,0.320727940455036,"10535","RNASEH2A",0.0220328961645207
1.01839388333235,0.291820122203835,0.000823156760718541,37.4540736633371,0.251094738844674,"10576","CCT2",0.0295601664720059
-1.95835220666367,0.734439168174635,0.00213703124912243,91.9585725766618,2.87497339618572,"10580","SORBS1",0.0411007507340629
1.17554413281018,0.126179940875773,1.08242819272547e-05,0,0,"10606","PAICS",0.00644336661660691
1.70646144103815,0.6599866293164,0.00228340938934142,78.7580770222238,2.02521127547079,"1063","CENPF",0.0421745227226687
1.64782561731288,0.286374266534304,0.000206188316366678,48.9708377814631,0.262968215816217,"10653","SPINT2",0.0167486436822852
-1.1240314009552,0.373436235057749,0.00194429348852,82.2146664217398,0.829301599039145,"10659","CELF2",0.0400488674092385
-1.29908189528561,0.354329009249912,0.00120910035069272,73.893489368531,0.57622315666898,"10763","NES",0.0335963125030412
1.74591177824478,0.523391249583041,0.00222379633421568,48.7201421242237,0.881343025771735,"10804","GJB6",0.0419068074394526
-1.79475268524103,0.30577710078359,0.000146423003507527,83.1024594413935,0.491666944010214,"10826","FAXDC2",0.0152160305543585
-2.02871348456998,0.626563993247981,0.00350929513839273,85.8124206327344,1.97413927055155,"10875","FGL2",0.0495807151868439
-2.17273868273814,0.67814166362596,0.00190452112971493,86.7232757414071,2.92426362700738,"10979","FERMT2",0.0396797443985212
1.2300819899551,0.405483162745493,0.000916467557762597,75.9374490816459,0.943038175698842,"11004","KIF2C",0.0302659654936517
1.52812296669386,0.67970367375486,0.000958956798123548,84.9246761824803,2.60211395552053,"11065","UBE2C",0.0307614406022275
-2.01185639636423,0.453612762357909,0.00301553952650204,84.8874709575198,0.70791806523719,"11149","POPDC1",0.0468464562155399
-1.02873991463748,0.297532528899855,0.00198119069710934,73.2404194175786,0.452153868801381,"11168","PSIP1",0.0401577753606713
-1.97090482843572,0.500561551196655,0.0023434259277432,78.5339465593734,1.14711693462456,"11185","INMT",0.0423392962460868
-1.62251790868975,0.475814609147634,0.00290972667847569,88.4664893161146,1.36932853124741,"11343","MGLL",0.0461080711418099
1.1932209390247,0.23613869555334,0.000477463349638587,0.00181822848673564,5.57725028832726e-06,"113452","TMEM54",0.023841657592754
-1.19629245172124,0.139123667284974,0.000317468992419708,0.00112147859347778,1.1869925163366e-06,"114786","XKR4",0.0201117471709436
-1.02112092311026,0.468622619411253,0.00225890406988116,81.2144382746416,1.19873752350815,"114884","OSBPL10",0.0420715309076601
-1.39738135407399,0.295162921415176,0.00101307905854901,76.9390887080851,0.383675566864056,"114905","C1QTNF7",0.0311149018172512
-1.06752728064445,0.170456819565812,0.000149554432849987,21.7314492427941,0.0329970793478011,"114928","GPRASP2",0.0152160305543585
-1.44456863201214,0.427930976978436,0.000867588038269464,53.5567922760337,0.756691090805414,"1152","CKB",0.0296423960218375
