"ENTREZID","logFC","p.value","FDR","significance"
"9890",-2.43084507580055,6.29369470152901e-38,1.54491323838433e-33,"significant"
"11126",-0.822111896676854,1.39596551815962e-24,1.71333827871321e-20,"not significant"
"163404",-0.701963311328607,5.42050982840927e-24,4.43524182526541e-20,"not significant"
"79625",-2.61983557030713,3.27039057593821e-23,2.00695693668888e-19,"significant"
"5126",-0.695996046417871,1.06389278429784e-21,5.22307523523181e-18,"not significant"
"10699",-1.06691822957958,2.29778381960061e-21,9.40061656995605e-18,"significant"
"54360",-1.33168467585156,2.71082130970639e-21,9.50607581276612e-18,"significant"
"653057",-0.979699395515833,1.38900671290605e-20,4.2619934727131e-17,"not significant"
"8707",-0.772275149216701,2.24500710906237e-20,6.12313216735045e-17,"not significant"
"10351",-3.13896143376461,4.92298420758042e-20,1.09858630312251e-16,"significant"
"121601",-0.843549726960916,4.73824952757245e-20,1.09858630312251e-16,"not significant"
"443",-1.80933965010086,2.49115731001204e-19,5.09586987407213e-16,"significant"
"3820",-1.19656438434434,3.37998762123587e-19,6.38219662603669e-16,"significant"
"26002",-3.42264974637371,4.7489057985556e-19,8.32652790265317e-16,"significant"
"55022",-1.59746756464939,8.89975538324778e-19,1.45641530261722e-15,"significant"
"7373",-1.67119028185971,1.09672066739042e-18,1.68257513890204e-15,"significant"
"2824",-2.20488709378265,7.84665562014569e-18,1.13301091475127e-14,"significant"
"116135",-0.645952530155394,8.09241287472139e-17,1.03631842039588e-13,"not significant"
"253559",-0.756276295513677,8.03742804360566e-17,1.03631842039588e-13,"not significant"
"64506",-0.923755556887092,8.44354438746797e-17,1.03631842039588e-13,"not significant"
"114905",-1.16501996922532,1.06658870594628e-16,1.24674061737444e-13,"significant"
"120892",-0.913134339880417,3.22076618222512e-16,3.59364306704909e-13,"not significant"
"64399",-1.14924497230232,5.31011867258412e-16,5.66728187199663e-13,"significant"
"89795",-0.828921945707721,9.79246215224007e-16,1.00156486854599e-12,"not significant"
"8434",-1.14841064906685,2.43767342815316e-15,2.39350278563503e-12,"significant"
"216",-3.68429036774265,2.84356309397455e-15,2.68465166414589e-12,"significant"
"3953",-0.551248588921196,3.51807227795523e-15,3.08421857882025e-12,"not significant"
"80310",-1.87549147256041,3.4678924731059e-15,3.08421857882025e-12,"significant"
"26223",-0.693179916454663,3.92006200608191e-15,3.31812972632043e-12,"not significant"
"2254",-2.05705441760736,5.54393695050117e-15,4.53623401079841e-12,"significant"
"90293",-1.09169201384652,6.53229927806688e-15,5.01088594933461e-12,"significant"
"9452",-2.38917841113406,6.43069780195124e-15,5.01088594933461e-12,"significant"
"11170",-2.94705137477537,9.70648473272715e-15,7.00779649218392e-12,"significant"
"9077",-0.773963108910936,9.42555858528152e-15,7.00779649218392e-12,"not significant"
"2735",-0.790422911442803,1.28948308621914e-14,9.04369751926319e-12,"not significant"
"57863",-0.729706287573309,1.64648638152371e-14,1.12267503353507e-11,"not significant"
"3131",-1.15761559949492,1.76564768483724e-14,1.15360709821878e-11,"significant"
"5243",-1.19228571273196,1.78584225087846e-14,1.15360709821878e-11,"significant"
"3977",-1.76892735643943,1.88263096997281e-14,1.18494724153648e-11,"significant"
"6096",-1.5375134706176,2.36042664257278e-14,1.44853481988085e-11,"significant"
"338811",-0.395921432024506,2.87870299201282e-14,1.72080628887507e-11,"not significant"
"9745",-1.0924359797778,2.94430537877349e-14,1.72080628887507e-11,"significant"
"596",-2.24545667452162,3.34006615239045e-14,1.88824757069979e-11,"significant"
"80059",-0.607256055737759,3.38464550090809e-14,1.88824757069979e-11,"not significant"
"6327",-0.608520769174985,5.6356887546114e-14,3.07420559687658e-11,"not significant"
"10516",-1.53211151429802,6.21995467461804e-14,3.31915711734454e-11,"significant"
"170575",-1.29149031399604,7.28658531092398e-14,3.72632936723439e-11,"significant"
"5375",-2.07271744131357,7.17642130165591e-14,3.72632936723439e-11,"significant"
"5069",-1.49499813430882,8.21667841169737e-14,4.11622050963133e-11,"significant"
"113612",-1.22192626232614,9.12133350909756e-14,4.44613402319776e-11,"significant"
"57722",-0.889550247378881,9.23749685024996e-14,4.44613402319776e-11,"not significant"
"146556",-0.455623983932858,1.10730186557772e-13,5.22710363352619e-11,"not significant"
"10439",-1.93312221166828,1.25779105363398e-13,5.82547113085912e-11,"significant"
"54511",-0.36809040041626,2.32618711657853e-13,1.05742435464172e-10,"not significant"
"482",-0.778540383043555,2.72418356862648e-13,1.21582789198317e-10,"not significant"
"51454",-0.817221590151193,2.92980340129221e-13,1.28424793020571e-10,"not significant"
