"ENTREZID","logFC","p.value","FDR","significance"
"70",-9.44571653736636,6.42489242173973e-17,1.26435457967416e-12,"significant"
"5121",-8.71004645697982,3.96795595835482e-16,3.90427026522323e-12,"significant"
"25802",-6.34935968192791,1.39996006054928e-15,9.18327134384977e-12,"significant"
"845",-6.23667462400233,3.1930583264094e-15,1.57090487013526e-11,"significant"
"84417",-5.25614497026929,6.47595022346938e-15,2.54880448895308e-11,"significant"
"1674",-9.1520506524112,9.47244539634888e-15,3.10680421591249e-11,"significant"
"65055",-6.04994059709838,1.29144870480411e-14,3.63063129454859e-11,"significant"
"1264",-9.08025739325007,1.65301682698145e-14,4.06621476727098e-11,"significant"
"54796",-4.06151067651543,5.43300736792103e-14,1.1879572443702e-10,"significant"
"256691",-5.63693516219347,8.3658906974044e-14,1.64632363034221e-10,"significant"
"55084",-4.88015130788361,1.88849667288873e-13,3.37852054779794e-10,"significant"
"477",-4.15943566015888,3.58729450563956e-13,5.88286404804007e-10,"significant"
"4129",-4.72793669558339,4.70436358094806e-13,7.12132083919053e-10,"significant"
"221476",-6.62029355313738,5.79584917279705e-13,7.46829205003741e-10,"significant"
"57158",-2.96143460416071,6.07209069569585e-13,7.46829205003741e-10,"significant"
"783",-3.08809473406616,5.32842501998857e-13,7.46829205003741e-10,"significant"
"10742",-2.83731787802752,8.2416554498154e-13,9.54044338805396e-10,"significant"
"55679",-6.04879902010186,9.95851164915086e-13,1.08874194857578e-09,"significant"
"11341",-3.81821830101585,1.054370532457e-12,1.09205040569586e-09,"significant"
"10267",-4.4330180151316,1.30289103785529e-12,1.28197963669771e-09,"significant"
"30818",-3.04239495976297,1.74895300173095e-12,1.63893552957445e-09,"significant"
"53826",-6.16576826148724,2.00574969925868e-12,1.79414310598689e-09,"significant"
"116535",-4.88172595370657,2.34793510144473e-12,2.00891368962308e-09,"significant"
"5740",-5.93091085218003,2.5556133699027e-12,2.0954964794298e-09,"significant"
"4684",-3.85412698217623,3.80554785729076e-12,2.99557505134499e-09,"significant"
"158471",-3.55046024616865,5.04474453367877e-12,3.67687139549128e-09,"significant"
"9421",-5.57189641858193,4.88775342519477e-12,3.67687139549128e-09,"significant"
"84812",-4.26061424627307,6.59772591052123e-12,4.63702314975526e-09,"significant"
"64091",-4.45914209308159,7.89708203609565e-12,5.35885094442504e-09,"significant"
"10398",-6.65432118721515,1.08595557681804e-11,7.01550589323902e-09,"significant"
"5023",-6.56556407459081,1.10514092530316e-11,7.01550589323902e-09,"significant"
"57484",-6.21455088214779,1.18828166218347e-11,7.30756088440894e-09,"significant"
"3899",-4.25560260009385,1.34048058781362e-11,7.99373257199524e-09,"significant"
"140458",-2.93109846483572,1.53993198206971e-11,8.72271763216285e-09,"significant"
"2949",-3.81641921300941,1.55137515689669e-11,8.72271763216285e-09,"significant"
"5099",-4.09094394294856,1.63668366303773e-11,8.94674939025543e-09,"significant"
"11149",-3.3911130574021,1.91616965071849e-11,9.67069999093832e-09,"significant"
"27254",-3.1147992944984,1.83373545534452e-11,9.67069999093832e-09,"significant"
"6442",-4.36768887934254,1.91654707884849e-11,9.67069999093832e-09,"significant"
"1805",-5.85696561828366,2.08326362181006e-11,1.0196715864291e-08,"significant"
"89927",-3.29308674139632,2.12442375342208e-11,1.0196715864291e-08,"significant"
"286133",-5.67663965184468,2.19221003892736e-11,1.0271547941917e-08,"significant"
"7275",-3.23989502278461,2.25996249241873e-11,1.03427446251879e-08,"significant"
"57188",-2.88241688354763,2.38355495617693e-11,1.06604495415013e-08,"significant"
"619208",-2.56197149638127,3.18462539938153e-11,1.3926720718762e-08,"significant"
"388815",-3.87352247223133,3.62383849270255e-11,1.55029386299768e-08,"significant"
"26230",-3.17421397720434,4.89842428833447e-11,2.05098067170498e-08,"significant"
"125",-3.43569545894591,5.9674808230057e-11,2.42001523606576e-08,"significant"
"27145",-4.61667296488429,6.02575062590691e-11,2.42001523606576e-08,"significant"
"10218",-2.51413731153243,7.61718713934901e-11,2.67676117348659e-08,"significant"
"4919",-2.44218805771195,7.43573918638094e-11,2.67676117348659e-08,"significant"
"51209",-4.24772021875626,7.05941380639906e-11,2.67676117348659e-08,"significant"
"57595",-2.7497879536626,6.8710777248578e-11,2.67676117348659e-08,"significant"
"7111",-4.58527670164434,7.27562738699108e-11,2.67676117348659e-08,"significant"
"862",-2.8211075714454,7.3699252738234e-11,2.67676117348659e-08,"significant"
"9499",-2.82011612952348,7.5224555495978e-11,2.67676117348659e-08,"significant"
"112476",-3.85449426949403,9.69984615049425e-11,3.20686749809519e-08,"significant"
"5737",-2.844000890308,9.77753188097521e-11,3.20686749809519e-08,"significant"
"84814",-3.58855994583508,9.74928093558464e-11,3.20686749809519e-08,"significant"
"91653",-2.12506528483854,9.69914057717213e-11,3.20686749809519e-08,"significant"
"2294",-4.7050884565773,1.12402065368865e-10,3.62616433507197e-08,"significant"
"22871",-3.34809217282396,1.158232897346e-10,3.67626857852772e-08,"significant"
"90362",-3.01450496896262,1.20648982185753e-10,3.76865288957687e-08,"significant"
"147906",-6.03486662641463,1.22608662797606e-10,3.77002480499077e-08,"significant"
"25959",-4.4274411065364,1.28695171240199e-10,3.88795547524625e-08,"significant"
"3131",-2.69758798331019,1.30395376475559e-10,3.88795547524625e-08,"significant"
"79442",-2.22129085910612,1.33751862177076e-10,3.92851178475028e-08,"significant"
"9843",-3.75933671681332,1.36169274448644e-10,3.94069875275714e-08,"significant"
"9532",-4.11687836248415,1.43067138987715e-10,4.08031627266557e-08,"significant"
"132299",2.77771712171188,1.4824152659396e-10,4.1599529519711e-08,"significant"
"4130",-5.15075894262092,1.50087229833807e-10,4.1599529519711e-08,"significant"
"3316",-2.70682430923007,1.60461434551107e-10,4.38572301462673e-08,"significant"
"4921",-4.32747758420859,1.72701290613415e-10,4.6556009561389e-08,"significant"
"10580",-4.73707582500648,1.78849426362084e-10,4.75618629916143e-08,"significant"
"7123",-5.25358830074827,1.82994397999238e-10,4.80152901096934e-08,"significant"
"3779",-6.39899712213673,2.0181287855496e-10,5.20032662022606e-08,"significant"
"8736",-6.07841730823733,2.0347840325088e-10,5.20032662022606e-08,"significant"
"399959",-5.60598498607301,2.4976379611206e-10,6.30141249190928e-08,"significant"
"93643",-3.94703731110152,2.71194864546594e-10,6.75549840431953e-08,"significant"
"51285",-5.46611968391334,3.041478638238e-10,7.48165726523569e-08,"significant"
"4969",-3.80760182234317,3.39352270746607e-10,8.24458436545985e-08,"significant"
"166336",-3.81648035731749,3.5748813665643e-10,8.57927931861205e-08,"significant"
"140628",-4.49891162137634,3.87965583453777e-10,9.19852375516491e-08,"significant"
"2318",-8.18084497586921,4.20706392746307e-10,9.85604893196973e-08,"significant"
"126393",-7.07373373690917,4.28032005388878e-10,9.90969627535026e-08,"significant"
"259217",-4.75052574623908,4.62430004492103e-10,1.0459954090115e-07,"significant"
"558",-3.49659995922746,4.62187756544335e-10,1.0459954090115e-07,"significant"
"91624",-4.849969363148,4.78421668004816e-10,1.06987045507577e-07,"significant"
"3745",-3.06214194596637,4.89193705763986e-10,1.08166774558758e-07,"significant"
"84966",-2.10581757875893,5.00860858004761e-10,1.09516009163063e-07,"significant"
"439921",-4.93216672556556,5.29690008225019e-10,1.14546919470991e-07,"significant"
"10826",-2.7651199932256,5.46870360476793e-10,1.16976758954596e-07,"significant"
"6263",-3.60824356462917,5.88755023708907e-10,1.24581829156641e-07,"significant"
"26577",-6.21228039984095,6.19737952457137e-10,1.29742799642596e-07,"significant"
"57569",-1.95649974876799,6.54243658961442e-10,1.35524852260023e-07,"significant"
"27129",-6.040650836007,6.93596168118475e-10,1.42179989504203e-07,"significant"
"3757",-3.05139979673365,7.10258933534827e-10,1.44094696423009e-07,"significant"
"2273",-6.80828997360716,7.75303889982157e-10,1.55685767866927e-07,"significant"
"10335",-2.66951576141781,7.874612296618e-10,1.56529793318329e-07,"significant"
"26112",-3.75073777225093,8.19980861662498e-10,1.61364033766563e-07,"significant"
"10891",-3.44189211888532,8.38075436832763e-10,1.63291945756752e-07,"significant"
"9464",-2.99316734253939,9.01523895504031e-10,1.73932242545332e-07,"significant"
"283078",-3.65133149704365,9.59629432097541e-10,1.81582188406226e-07,"significant"
"56899",-2.89737982863036,9.51625866942373e-10,1.81582188406226e-07,"significant"
"91461",-4.23547067824706,9.76718815876381e-10,1.83055710263155e-07,"significant"
"85004",-3.07826852822146,1.01658520788458e-09,1.88730002886422e-07,"significant"
"9413",-2.86171641698566,1.09272690165582e-09,2.00969838296121e-07,"significant"
"2690",-3.78662633449132,1.11112440789464e-09,2.0246127058295e-07,"significant"
"9853",-3.36922651761189,1.30997192213589e-09,2.36504013355157e-07,"significant"
"7871",-3.48246014708808,1.44071715823172e-09,2.57744299607654e-07,"significant"
"58476",-3.41364471892378,1.49308018648596e-09,2.64705630539254e-07,"significant"
"4162",-3.55683450101371,1.57856428504485e-09,2.77362201476765e-07,"significant"
"92249",-2.43684642714987,1.60782287281629e-09,2.80003064727007e-07,"significant"
"51435",-3.29104664817054,1.65805909036605e-09,2.86218814379943e-07,"significant"
"8483",-6.09667167213479,1.68778164569099e-09,2.8881613048307e-07,"significant"
"94274",-5.48680942785541,1.7135136674181e-09,2.90691685009662e-07,"significant"
"8436",-5.12142399537802,1.74473929018945e-09,2.93459183689216e-07,"significant"
"4653",-4.2925861529654,1.83847019728952e-09,3.066038560378e-07,"significant"
"26507",-2.01857061843703,1.92470575775356e-09,3.18288105939767e-07,"significant"
"8434",-2.19149361681163,2.03051659661865e-09,3.32987800873821e-07,"significant"
"5348",-2.60570604947579,2.22077887421392e-09,3.6117940054261e-07,"significant"
"83478",-1.63098913516954,2.35002202563962e-09,3.79066257725919e-07,"significant"
"7512",-1.9883487178138,2.38928824864668e-09,3.82266694675756e-07,"significant"
"83692",-2.970623159442,2.41500262599679e-09,3.83264811911216e-07,"significant"
"8309",-4.04441634616854,2.47916013217253e-09,3.90299137928186e-07,"significant"
"11142",-2.92489522075045,2.57428945544211e-09,4.0205906502893e-07,"significant"
"283807",-3.74699763374219,2.70633432721832e-09,4.16077759572885e-07,"significant"
"79658",-3.33957034178466,2.69309189306324e-09,4.16077759572885e-07,"significant"
"286097",-1.254782134934,2.88436124217658e-09,4.40010425463511e-07,"significant"
"5662",-3.657392226346,2.90920854147354e-09,4.40387037597367e-07,"significant"
"51676",-2.15206233126378,2.95571264181713e-09,4.44011214338315e-07,"significant"
"11343",-3.26689381607082,3.20662774421434e-09,4.78054752866622e-07,"significant"
"775",-3.82818593306292,3.25001122639702e-09,4.80879480633587e-07,"significant"
"29904",-2.04391895116654,3.34963792289279e-09,4.88307083934679e-07,"significant"
"358",-2.78983361397669,3.34983771183402e-09,4.88307083934679e-07,"significant"
"23194",-2.97609415613976,3.45416800393764e-09,4.99813030510947e-07,"significant"
"11117",-4.76874292882461,3.7363423984033e-09,5.21471503958714e-07,"significant"
"1879",-4.09224758179571,3.69538201398939e-09,5.21471503958714e-07,"significant"
"7168",-4.39476183778743,3.68747799510259e-09,5.21471503958714e-07,"significant"
"79791",-2.65999200044582,3.72487834233186e-09,5.21471503958714e-07,"significant"
"9764",-2.7154847594799,3.70792171982933e-09,5.21471503958714e-07,"significant"
"51559",-4.36962507193046,3.78629478866809e-09,5.24721796804221e-07,"significant"
"115",-3.02037881715097,3.85395864443093e-09,5.30364001145149e-07,"significant"
"1066",-5.02356292619816,3.98095980230513e-09,5.40284882410777e-07,"significant"
"6840",-4.11908838061554,3.9554526456661e-09,5.40284882410777e-07,"significant"
"11185",-4.21123830577053,4.14038930283115e-09,5.58073432126124e-07,"significant"
"1464",-4.94543115809922,4.46908945891434e-09,5.98280350081465e-07,"significant"
"219348",-5.38894195601585,4.55567668909186e-09,6.05751091652965e-07,"significant"
"4638",-6.70505182413926,4.90045356360078e-09,6.47221648846307e-07,"significant"
"7145",-3.94450345558762,4.94603217679206e-09,6.48886448047273e-07,"significant"
"1296",-1.92483297103116,4.98337767310215e-09,6.49456220059452e-07,"significant"
"1112",-2.63088205848363,5.0637818719318e-09,6.55593180643065e-07,"significant"
"11248",-1.58667981468635,5.38958055568855e-09,6.69691047247846e-07,"significant"
"185",-2.98561382692335,5.41229295159302e-09,6.69691047247846e-07,"significant"
"23174",-1.8791069463402,5.36884666860234e-09,6.69691047247846e-07,"significant"
"2788",-3.17978436810381,5.39254280482994e-09,6.69691047247846e-07,"significant"
"5437",1.06324875888437,5.44491933328194e-09,6.69691047247846e-07,"significant"
"590",-2.26214388098444,5.25115802561502e-09,6.69691047247846e-07,"significant"
"6487",-2.80907558736513,5.31319583690517e-09,6.69691047247846e-07,"significant"
"81849",-2.18142435668601,5.44285081261372e-09,6.69691047247846e-07,"significant"
