"ENTREZID","logFC","p.value","FDR","significance"
"27102",1.684353537392,2.31946585238699e-14,1.39195148244365e-10,"significant"
"5901",2.1465069874143,2.21196679024123e-14,1.39195148244365e-10,"significant"
"79867",-2.69011980854013,3.20258796482165e-14,1.39195148244365e-10,"significant"
"100288069",-1.85712939554294,4.99812332157653e-14,1.62926324975091e-10,"significant"
"7919",1.55358475698513,1.15057572450883e-13,2.14319383883867e-10,"significant"
"84436",-1.74655202496463,1.06029172263937e-13,2.14319383883867e-10,"significant"
"988",-2.94780186289447,9.20848290844122e-14,2.14319383883867e-10,"significant"
"2923",1.93543652296295,5.60441105074391e-13,5.62122428389614e-10,"significant"
"3181",1.90086221243206,5.28191316808264e-13,5.62122428389614e-10,"significant"
"3192",1.41633929881648,4.48541601589224e-13,5.62122428389614e-10,"significant"
"387522",1.50420429805422,4.9572805814056e-13,5.62122428389614e-10,"significant"
"57119",-1.25464959012476,3.87485777824602e-13,5.62122428389614e-10,"significant"
"6622",-0.968810105277327,4.26325847462512e-13,5.62122428389614e-10,"not significant"
"375",1.53464737826715,6.22327366254303e-13,5.79609037756418e-10,"significant"
"10728",1.39478843133274,6.84022700447083e-13,5.94598132741968e-10,"significant"
"10694",2.01910862408666,8.48122605284123e-13,6.14370591683316e-10,"significant"
"3837",1.88468958031621,8.44856520184344e-13,6.14370591683316e-10,"significant"
"8434",-2.28250151851786,7.6255857927578e-13,6.14370591683316e-10,"significant"
"24150",-1.47093060871483,9.12296347786679e-13,6.20105029270516e-10,"significant"
"4210",-2.5647579385376,9.51154274515708e-13,6.20105029270516e-10,"significant"
"7203",2.0512687525576,1.37202970722248e-12,8.51899778689234e-10,"significant"
"140578",-1.28901434890596,1.88313521726074e-12,1.05517353913693e-09,"significant"
"5137",-1.11252617081171,2.1040349733538e-12,1.05517353913693e-09,"significant"
"53615",-1.40836894577078,2.10134875227789e-12,1.05517353913693e-09,"significant"
"540",-0.97629051470229,2.04933181412652e-12,1.05517353913693e-09,"not significant"
"6184",1.52498759661962,2.03753200972372e-12,1.05517353913693e-09,"significant"
"26354",2.12343461990721,2.36923919011809e-12,1.13431040573878e-09,"significant"
