"genes_presentes","n_vias","databases","mean_enrichment","best_padj"
"EEF2K",2,1,3.06224455181913,0.027754830350983
"CDH3",2,1,3.70351061064812,0.0394800163824928
"FAM171A1",1,1,5.37165605095541,5.44380171810198e-06
"PDLIM3",1,1,4.21377248396586,7.42410446433697e-06
"SLMAP",1,1,3.69948763839905,2.56929839579735e-05
"SMTN",1,1,3.69948763839905,2.56929839579735e-05
"CENPU",1,1,3.01336802858474,0.000962839593190667
"SRPK1",1,1,3.01336802858474,0.000962839593190667
"MAP1A",1,1,3.06077267860707,0.00231851920833015
"FXYD6",1,1,3.65524060646012,0.00441481176717239
"A2M",1,1,2.95683534001291,0.00510435327770272
"MFAP5",1,1,2.95683534001291,0.00510435327770272
"P3H2",1,1,2.95683534001291,0.00510435327770272
"ADGRB3",1,1,3.14890182297386,0.00628414712613673
"HSPB6",1,1,3.14890182297386,0.00628414712613673
"RHOJ",1,1,3.14890182297386,0.00628414712613673
"CELF2",1,1,2.5746499590636,0.00840117940126796
"CPA3",1,1,2.5746499590636,0.00840117940126796
"P2RX1",1,1,2.5746499590636,0.00840117940126796
"PTGS1",1,1,2.5746499590636,0.00840117940126796
"DIXDC1",1,1,2.78096634790607,0.00915932799059622
"ZBTB16",1,1,3.26970368319025,0.0125402049093423
"GHR",1,1,2.42590918430245,0.0170164962776676
"MCM4",1,1,3.57346310742146,0.0228727338899287
"SLC7A5",1,1,2.78805677385229,0.027754830350983
"COLEC12",1,1,2.89243018128368,0.0290248511235788
"DPT",1,1,2.89243018128368,0.0290248511235788
"FLRT2",1,1,2.89243018128368,0.0290248511235788
"SPINT1",1,1,2.89243018128368,0.0290248511235788
"PID1",1,1,2.65923566878981,0.0373954566428614
"ZBTB20",1,1,2.65923566878981,0.0373954566428614
"RSPO3",1,1,4.2130635693768,0.0394800163824928
"CLDN7",1,1,3.19395765191944,0.039571925245149
"GJB2",1,1,3.19395765191944,0.039571925245149
"SPRR1A",1,1,3.87247712829108,0.0406142094172455
"DCUN1D4",1,1,2.49120280624019,0.0417716200031048
"FANCI",1,1,2.49120280624019,0.0417716200031048
"H2AX",1,1,2.81578744606534,0.0420007604719306
"RFC5",1,1,2.81578744606534,0.0420007604719306
