"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","genes_presentes","n_genes_robustos","Database","category","subcategory"
"GO:0031589","cell-substrate adhesion","43/718","326/16871",0.131901840490798,3.09932583693627,8.06953355714087,4.0053232786523e-11,1.21531440325243e-08,5.89928925583658e-09,"FBLN2/HACD1/CCR7/SPOCK1/OLFM4/MMP12/RRAS/LYVE1/SORBS1/CDH11/EPDR1/COL16A1/SVEP1/PLPP3/ITGA8/CCDC80/SFRP1/EPHA3/KIF14/CEACAM6/LAMC3/ACTN1/MYADM/FZD7/SEMA3E/CORO1C/MYOC/ANTXR1/JUP/VCL/VEGFA/CD34/CX3CL1/EMILIN1/SGCE/EPHA1/ITGA5/FAM107A/FERMT2/NDNF/FLNA/APOD/ILK",43,"FBLN2, HACD1, CCR7, SPOCK1, OLFM4, MMP12, RRAS, LYVE1, SORBS1, CDH11, EPDR1, COL16A1, SVEP1, PLPP3, ITGA8, CCDC80, SFRP1, EPHA3, KIF14, CEACAM6, LAMC3, ACTN1, MYADM, FZD7, SEMA3E, CORO1C, MYOC, ANTXR1, JUP, VCL, VEGFA, CD34, CX3CL1, EMILIN1, SGCE, EPHA1, ITGA5, FAM107A, FERMT2, NDNF, FLNA, APOD, ILK",43,"GO_BP",NA,NA
"GO:0051783","regulation of nuclear division","26/718","133/16871",0.195488721804511,4.59344042557648,8.77157648929913,5.83527246349899e-11,1.62694690372931e-08,7.89740528319351e-09,"MKI67/CHEK1/CENPF/CDCA8/NDC80/BORA/SKA3/CCNB1/AURKB/ZWINT/NUSAP1/NUF2/UBE2C/RAD51AP1/IGF2/MAD2L1/BMP4/DLGAP5/TTK/KNTC1/DYNC1I1/NEK2/AURKA/TRIP13/CDC20/BUB1B",26,"MKI67, CHEK1, CENPF, CDCA8, NDC80, BORA, SKA3, CCNB1, AURKB, ZWINT, NUSAP1, NUF2, UBE2C, RAD51AP1, IGF2, MAD2L1, BMP4, DLGAP5, TTK, KNTC1, DYNC1I1, NEK2, AURKA, TRIP13, CDC20, BUB1B",26,"GO_BP",NA,NA
"GO:0031032","actomyosin structure organization","31/718","190/16871",0.163157894736842,3.83375604750037,8.28173607469207,1.09586978382867e-10,2.57298689771562e-08,1.24896026250331e-08,"RACGAP1/CSRP1/IQGAP3/ECT2/TGFB3/SORBS1/FAM171A1/ZEB2/MYOM1/PRKD1/LPAR1/CGNL1/EPB41L3/ARHGEF10/EPB41L2/SFRP1/PGM5/KRT19/PDGFRA/TPM1/ACTC1/MYH3/MYOC/FLNC/KLHL41/ANLN/MYH11/EPHA1/TMOD1/KRT8/FERMT2",31,"RACGAP1, CSRP1, IQGAP3, ECT2, TGFB3, SORBS1, FAM171A1, ZEB2, MYOM1, PRKD1, LPAR1, CGNL1, EPB41L3, ARHGEF10, EPB41L2, SFRP1, PGM5, KRT19, PDGFRA, TPM1, ACTC1, MYH3, MYOC, FLNC, KLHL41, ANLN, MYH11, EPHA1, TMOD1, KRT8, FERMT2",31,"GO_BP",NA,NA
"GO:0044772","mitotic cell cycle phase transition","47/718","405/16871",0.116049382716049,2.72683723649369,7.41614184745687,4.15692174666003e-10,8.81376734535267e-08,4.27831373221062e-08,"CHEK1/CCND2/CENPE/CDC7/CDKN3/CENPF/CDCA8/NES/NDC80/FHL1/CCNE1/SKA3/CCNB1/DDR2/FOXM1/KANK2/UBE2S/AURKB/ZWINT/TACC3/CCNA2/NUF2/UBE2C/MAD2L1/MAP3K20/KIF14/DLGAP5/TTK/KNTC1/MELK/ANLN/DYNC1I1/NEK2/AURKA/FBXL7/DTL/TRIP13/CDK1/STIL/CDC20/RRM2/FAM107A/CCNB2/BUB1B/UBE2E2/CCNE2/ADAMTS1",47,"CHEK1, CCND2, CENPE, CDC7, CDKN3, CENPF, CDCA8, NES, NDC80, FHL1, CCNE1, SKA3, CCNB1, DDR2, FOXM1, KANK2, UBE2S, AURKB, ZWINT, TACC3, CCNA2, NUF2, UBE2C, MAD2L1, MAP3K20, KIF14, DLGAP5, TTK, KNTC1, MELK, ANLN, DYNC1I1, NEK2, AURKA, FBXL7, DTL, TRIP13, CDK1, STIL, CDC20, RRM2, FAM107A, CCNB2, BUB1B, UBE2E2, CCNE2, ADAMTS1",47,"GO_BP",NA,NA
"GO:0010810","regulation of cell-substrate adhesion","30/718","192/16871",0.15625,3.6714397632312,7.8488162681209,6.47044518436157e-10,1.20269399864321e-07,5.83802822155914e-08,"FBLN2/HACD1/CCR7/SPOCK1/OLFM4/MMP12/RRAS/COL16A1/PLPP3/CCDC80/SFRP1/EPHA3/CEACAM6/MYADM/FZD7/SEMA3E/CORO1C/MYOC/JUP/VCL/VEGFA/CX3CL1/EPHA1/ITGA5/FAM107A/FERMT2/NDNF/FLNA/APOD/ILK",30,"FBLN2, HACD1, CCR7, SPOCK1, OLFM4, MMP12, RRAS, COL16A1, PLPP3, CCDC80, SFRP1, EPHA3, CEACAM6, MYADM, FZD7, SEMA3E, CORO1C, MYOC, JUP, VCL, VEGFA, CX3CL1, EPHA1, ITGA5, FAM107A, FERMT2, NDNF, FLNA, APOD, ILK",30,"GO_BP",NA,NA
"GO:0050000","chromosome localization","23/718","119/16871",0.19327731092437,4.54147842981204,8.17368536996352,9.46317907067844e-10,1.62366314747294e-07,7.88146551653713e-08,"GEM/CENPE/CENPF/CDCA8/KIF2C/RACGAP1/NDC80/CDT1/ECT2/SKA3/KIFC1/CCNB1/AURKB/CENPA/ZWINT/SPAG5/NUF2/KIF14/DLGAP5/TTK/KNTC1/NEK2/CDK1",23,"GEM, CENPE, CENPF, CDCA8, KIF2C, RACGAP1, NDC80, CDT1, ECT2, SKA3, KIFC1, CCNB1, AURKB, CENPA, ZWINT, SPAG5, NUF2, KIF14, DLGAP5, TTK, KNTC1, NEK2, CDK1",23,"GO_BP",NA,NA
"GO:0140694","membraneless organelle assembly","47/718","417/16871",0.112709832134293,2.64836710019171,7.18587049027949,1.09836206358388e-09,1.76704932436147e-07,8.57748008732655e-08,"PRICKLE1/KIF23/CENPE/CENPF/CDCA8/HJURP/RACGAP1/NDC80/UHRF1/CSRP1/SKA3/PLA2G4C/KIFC1/KIF4A/MYOM1/SQLE/CENPW/PRKD1/KIF15/AURKB/CENPA/SPAG5/PLK4/ARHGEF10/PRC1/ANG/PGM5/KRT19/DLGAP5/PDGFRA/TPM1/ACTC1/MYH3/TPX2/KNTC1/FLNC/KLHL41/ANLN/NEK2/MYH11/CENPN/STIL/TMOD1/KRT8/KIF11/FLNA/CDS1",47,"PRICKLE1, KIF23, CENPE, CENPF, CDCA8, HJURP, RACGAP1, NDC80, UHRF1, CSRP1, SKA3, PLA2G4C, KIFC1, KIF4A, MYOM1, SQLE, CENPW, PRKD1, KIF15, AURKB, CENPA, SPAG5, PLK4, ARHGEF10, PRC1, ANG, PGM5, KRT19, DLGAP5, PDGFRA, TPM1, ACTC1, MYH3, TPX2, KNTC1, FLNC, KLHL41, ANLN, NEK2, MYH11, CENPN, STIL, TMOD1, KRT8, KIF11, FLNA, CDS1",47,"GO_BP",NA,NA
"GO:0030336","negative regulation of cell migration","36/718","273/16871",0.131868131868132,3.09853377819952,7.36991661751179,1.6029545396707e-09,2.38359340049032e-07,1.15702627239207e-07,"IL33/DACH1/RECK/KRT16/IGFBP3/DCN/ADARB1/MEF2C/SLIT2/MIF/CDH11/ZEB2/BMP5/TGFBR3/CLDN5/CYP1B1/DPYSL3/CXCL12/SFRP1/LRP1/CYGB/BMP4/TPM1/PPARG/CORO1C/SFRP2/JUP/IGFBP5/VCL/CX3CL1/EMILIN1/CLIC4/SERPINF1/EPHA1/APOD/STARD13",36,"IL33, DACH1, RECK, KRT16, IGFBP3, DCN, ADARB1, MEF2C, SLIT2, MIF, CDH11, ZEB2, BMP5, TGFBR3, CLDN5, CYP1B1, DPYSL3, CXCL12, SFRP1, LRP1, CYGB, BMP4, TPM1, PPARG, CORO1C, SFRP2, JUP, IGFBP5, VCL, CX3CL1, EMILIN1, CLIC4, SERPINF1, EPHA1, APOD, STARD13",36,"GO_BP",NA,NA
"GO:0060537","muscle tissue development","36/718","276/16871",0.130434782608696,3.06485406321909,7.29202992390197,2.16327634416452e-09,3.01574242853686e-07,1.4638793763512e-07,"PTCH1/GJB6/PRICKLE1/RGS2/CSRP1/MEIS1/RBM24/CCNB1/MEF2C/MYOM1/BMP5/TGFBR3/ITGA8/CAV1/DMD/IGF2/IRX3/BMP4/PGM5/PDGFRA/TPM1/ACTC1/FZD7/SORBS2/SVIL/KLHL41/TCF21/MYLK/MYH11/IGFBP5/ISL1/VEGFA/COL6A1/OSR1/EDNRA/CDK1",36,"PTCH1, GJB6, PRICKLE1, RGS2, CSRP1, MEIS1, RBM24, CCNB1, MEF2C, MYOM1, BMP5, TGFBR3, ITGA8, CAV1, DMD, IGF2, IRX3, BMP4, PGM5, PDGFRA, TPM1, ACTC1, FZD7, SORBS2, SVIL, KLHL41, TCF21, MYLK, MYH11, IGFBP5, ISL1, VEGFA, COL6A1, OSR1, EDNRA, CDK1",36,"GO_BP",NA,NA
"GO:0051983","regulation of chromosome segregation","24/718","139/16871",0.172661870503597,4.05707300454901,7.63013898978334,4.41506379272194e-09,5.18305252087699e-07,2.51591900556908e-07,"CENPE/CENPF/CDCA8/KIF2C/NDC80/SKA3/CCNB1/AURKB/ZWINT/TACC3/NUF2/UBE2C/MAD2L1/MAP3K20/DLGAP5/NCAPG/TTK/KNTC1/DYNC1I1/SMC4/TRIP13/CDK1/CDC20/BUB1B",24,"CENPE, CENPF, CDCA8, KIF2C, NDC80, SKA3, CCNB1, AURKB, ZWINT, TACC3, NUF2, UBE2C, MAD2L1, MAP3K20, DLGAP5, NCAPG, TTK, KNTC1, DYNC1I1, SMC4, TRIP13, CDK1, CDC20, BUB1B",24,"GO_BP",NA,NA
