"","GSE65635_logFC","GSE65635_SE","GSE65635_logFC_scaled","GSE65635_SE_scaled"
"10",-0.138685310996575,0.0592099553819259,-0.121725585158522,0.0560887673690159
"100",0.450356447519883,0.563565701807893,0.436265481562511,0.533857952467029
"1000",-2.57527334124929,0.435290643188235,-2.42987154340883,0.41234477320932
"10000",-0.177115930436082,0.114606920979165,-0.158130376543446,0.108565542537832
"100008588",-0.399002185700027,0.394668561201813,-0.368320140639781,0.373864039827836
"100008589",0.479757022792185,0.605808981863029,0.46411623767821,0.573874424234882
"100009676",0.193649549485489,0.239047172363868,0.193090606780086,0.226446062228091
"10001",0.311979905097102,0.261931856836157,0.305183307167743,0.248124405597884
"10002",-0.0439717949257155,0.0460652487436932,-0.0320047884557837,0.0436369695588314
"10003",-1.51217714562879,0.134962864078923,-1.42281530054523,0.127848444369705
"100033414",-0.423136524200339,0.163418576532013,-0.391182263892829,0.154804145075876
"100033416",-0.0474156780375701,0.0370922246951731,-0.0352671310375493,0.0351369486551226
"100033425",-0.159261049118557,0.0775722833018263,-0.141216695758513,0.0734831452639073
"100033439",-0.442049915009947,0.184692540601571,-0.409098656000147,0.174956675406586
"100033822",0.102978392650861,0.0794236859374768,0.107199080769422,0.0752369532353466
"100034743",0.0272017375130318,0.0818678658879975,0.0354169090955471,0.0775522909140947
"100036566",-0.0661687644567941,0.0966126374804705,-0.0530316690250241,0.0915198080051808
"100037417",0.0107805463397996,0.170861864260548,0.0198613430476337,0.161855068035934
"100038246",-0.095494367584509,0.0814176608827852,-0.0808114050707057,0.0771258179731368
"10004",-2.05425943060309,0.192231025444713,-1.93632231099079,0.182097777269515
"100048912",0.0537591514918674,0.111027511533479,0.0605743780544962,0.105174817744635
"100049587",1.21775633477272,0.863826563587031,1.16321272341557,0.818290891450314
"10005",1.03054040725224,0.41802385870139,0.985865678670518,0.395988188374108
"10006",0.399124285996809,0.184668778181924,0.387733967378046,0.174934165596891
"10007",0.705863551298989,0.393145926050685,0.678303807931052,0.372421668722696
"100073347",-0.209696421523642,0.155229348731169,-0.188993422691532,0.147046603458245
"10008",-0.159282887146872,0.214440078623655,-0.141237382619059,0.203136104510343
"10009",1.37136767881147,0.177674176922464,1.3087266135284,0.168308277089624
"100093631",-0.35327631251551,0.155132122358272,-0.325004656828854,0.146954502267213
"1001",2.43463399043407,0.752035776284728,2.31594400491518,0.712393033183863
"10010",-0.470573652608271,0.216871768680505,-0.436118795980453,0.2054396106865
"100101116",0.0633661560837959,0.0694920351543041,0.0696749599109425,0.0658288385564133
"100101266",0.652831378845391,0.482840421916412,0.628067168422768,0.457388017378814
"100101267",0.187114548089673,0.195729709963575,0.186900090832526,0.185412032462079
"100101467",0.101427071120178,0.153299027129132,0.105729535455838,0.145218036647381
"10011",-0.977601450879852,0.267526913667112,-0.916419178634684,0.253424525129872
"100113378",0.0964797359321441,0.086732060390523,0.101042993629074,0.0821600747256171
"100113379",-0.0919179126705814,0.126056973812419,-0.0774234790643589,0.119412018364148
"100113380",0.0200038705793801,0.101730127621737,0.028598469841699,0.0963675352529936
"100113381",-0.0705326051583874,0.172315015152602,-0.0571654746387643,0.163231617668691
"100113384",0.431336205611329,0.203304205621424,0.418247870895017,0.19258724686902
"100113389",-0.0662933210403418,0.0729469146835879,-0.0531496597445546,0.0691015978914952
"100113391",0.0761501487776037,0.0822746300421598,0.0817850584176045,0.0779376129409346
"100113392",0.0608962369236519,0.207318950623808,0.0673352398368435,0.196390358981369
"100113393",0.101251845164598,0.161988403627613,0.105563546344781,0.153449362171296
"100113402",-0.0904979284523257,0.0902777249862241,-0.0760783477604814,0.0855188334916731
"100113407",-1.84298501897687,0.344218983873646,-1.73618499880585,0.326073856768713
"100124516",0.19928863557717,0.117551897222615,0.198432434618496,0.111355277580878
"100124533",0.126466594888702,0.135032208557621,0.129449128126099,0.127914133430082
"100124534",0.205760338964603,0.204446961134437,0.204562989242926,0.19366976327552
"100124535",0.0629369073211477,0.103602738803197,0.0692683385271512,0.0981414337849554
"100124536",0.292848288181217,0.154361981638118,0.287060192504566,0.146224958672467
"100124537",0.627194510311805,0.378786664903544,0.603781719363144,0.358819340315626
"100124538",0.454689951039579,0.330895627728884,0.440370549185704,0.313452826765264
"100124539",0.0725067237551658,0.131739975388246,0.0783336925587416,0.124795446730007
"100124540",-0.03996410065883,0.102385846190424,-0.0282083554071263,0.0969886883347921
"100124541",0.377535188607563,0.355577237561164,0.36728291563579,0.336833372540818
"100124700",-0.219839605482266,0.102736066706064,-0.198601919806023,0.0973204473591466
"100125288",0.00802044165840332,0.106146527424369,0.0172467342645265,0.100551129372269
"100125556",0.688116201468016,0.18248402976635,0.661491990228014,0.172864583803584
"100126270",0.0455265395391047,0.12237433540876,0.0527757392330449,0.115923506214549
"100126296",-0.0197804985812784,0.0602313574040504,-0.00908870982904248,0.0570563273011194
"100126297",-0.0472676042281224,0.220432858470037,-0.0351268627769505,0.208812981524172
"100126299",0.673015425605079,0.447195003670768,0.647187235242056,0.423621608354269
"100126302",0.0474517658789964,0.0632941371684582,0.054599479372931,0.0599576559814115
"100126303",-0.0390078313993349,0.0932919788308231,-0.0273024948353358,0.0883741942429242
"100126304",0.0890056802611907,0.0548126084427477,0.0939629246250172,0.051923221762344
