"","gene","auc"
"1","9928",0.99344375431332
"2","9920",0.877731769036117
"3","991",0.998389694041868
"4","9833",0.998044628479411
"5","9787",0.99746951920865
"6","9639",0.982976765585461
"7","9636",0.976190476190476
"8","9601",0.95778697952611
"9","9582",0.972164711295146
"10","95",0.928226363008972
"11","9493",0.990223142397055
"12","92312",0.975730388773867
"13","9212",0.997699562916954
"14","91851",0.967678858983207
"15","9134",0.974925235794801
"16","9123",0.876351506786289
"17","90627",0.973199907982517
"18","9055",0.990223142397055
"19","90293",0.917184265010352
"20","9022",0.89348976305498
"21","89958",0.996089256958822
"22","898",0.991373360938578
"23","891",0.999309868875086
"24","8854",0.62916954221302
"25","8842",0.829307568438003
"26","8838",0.52610996089257
"27","8836",0.987807683459857
"28","8805",0.854037267080745
"29","8786",0.965378421900161
"30","8742",0.936853002070393
"31","8703",0.951230733839429
"32","8654",0.945939728548424
"33","8581",0.729813664596273
"34","85457",0.878306878306878
"35","85414",0.697837589141937
"36","85236",0.876811594202899
"37","85012",0.919369680239245
"38","84985",0.906602254428341
"39","8490",0.908212560386473
"40","84790",0.972394755003451
"41","84366",0.842650103519669
"42","8404",0.984011962272832
"43","83959",0.847020933977456
"44","83879",0.904991948470209
"45","83857",0.957326892109501
"46","83540",0.99700943179204
"47","8338",0.793765815504946
"48","8313",0.927421210029906
"49","8140",0.811364159190246
"50","80727",0.954221302047389
"51","79974",0.963077984817115
"52","79852",0.719921785139176
"53","79785",0.98792270531401
"54","79733",0.902116402116402
"55","79682",0.990223142397055
"56","79581",0.970669427191166
"57","79191",0.722337244076374
"58","7718",0.968484011962273
"59","768",0.758684149988498
"60","760",0.804232804232804
"61","7422",0.551299746951921
"62","7371",0.889118932597193
"63","7345",0.79296066252588
"64","7325",0.74269611226133
"65","7298",0.980446284794111
"66","728833",0.993788819875776
"67","7272",0.998619737750173
"68","7153",0.997929606625259
"69","7113",0.6909362778928
"70","7108",0.830457786979526
"71","7102",0.91005291005291
"72","7037",0.913388543823326
"73","7020",0.924085576259489
"74","70",0.93616287094548
"75","6768",0.971704623878537
"76","6699",0.854037267080745
"77","6698",0.791120312859443
"78","6696",0.825971934667587
"79","6676",0.853347135955832
"80","6659",0.970784449045319
"81","6628",0.984472049689441
"82","652",0.885553255118472
"83","6513",0.84621578099839
"84","65055",0.956751782838739
"85","64943",0.738785369220152
"86","6491",0.993098688750863
"87","6472",0.951345755693582
"88","6456",0.783298826777088
"89","64359",0.736254888428801
"90","6422",0.883712905452036
"91","64151",0.995629169542213
"92","6338",0.67034736599954
"93","6280",0.77938808373591
"94","6279",0.655164481251438
"95","6278",0.851851851851852
"96","6273",0.835518748562227
"97","6159",0.778812974465148
"98","6096",0.906142167011732
"99","596",0.941798941798942
"100","59353",0.892684610075914
"101","5915",0.860248447204969
"102","58499",0.713480561306648
"103","57659",0.929721647112951
"104","57549",0.896710374971245
"105","56992",0.990223142397055
"106","56907",0.884633080285254
"107","56901",0.609960892569588
"108","5652",0.940763745111571
"109","5649",0.961467678858983
"110","5630",0.969979296066253
"111","55885",0.963193006671268
"112","55872",0.995514147688061
"113","55771",0.997929606625259
"114","55630",0.981366459627329
"115","55214",0.662985967333793
"116","55165",0.997814584771107
"117","55034",0.910628019323672
"118","54749",0.789279963193007
"119","5468",0.748447204968944
"120","54474",0.687025534851622
"121","54443",0.993903841729929
"122","54145",0.956866804692892
"123","54102",0.636070853462158
"124","5350",0.919369680239245
"125","5266",0.823901541292846
"126","5239",0.981941568898091
"127","51776",0.947895100069013
"128","5166",0.974120082815735
"129","51659",0.998389694041868
"130","51599",0.968599033816425
"131","51514",0.996434322521279
"132","51435",0.82263630089717
"133","51309",0.955831608005521
"134","5121",0.93064182194617
"135","5099",0.826086956521739
"136","5064",0.927421210029906
"137","50512",0.90050609615827
"138","5010",0.888658845180584
"139","4958",0.919139636530941
"140","4857",0.9824016563147
"141","4830",0.941338854382333
"142","4751",0.998734759604325
"143","4680",0.91005291005291
"144","4629",0.964113181504486
"145","4600",0.875776397515528
"146","4321",0.806763285024155
"147","4319",0.887278582930757
"148","4318",0.905912123303428
"149","4312",0.94973544973545
"150","4176",0.931792040487693
"151","4171",0.996089256958822
"152","4147",0.944904531861054
"153","4085",0.994133885438233
"154","401152",0.635610766045549
"155","401115",0.896135265700483
"156","4001",0.996779388083736
"157","3977",0.971934667586841
"158","3899",0.985277202668507
"159","389337",0.875661375661376
"160","388228",0.930871865654474
"161","3875",0.951460777547734
"162","3872",0.901886358408097
"163","387103",0.979871175523349
"164","3868",0.92914653784219
"165","3866",0.758224062571889
"166","3861",0.912353347135956
"167","3853",0.780768345985737
"168","3832",0.998044628479411
"169","3779",0.974925235794801
"170","3778",0.945364619277663
"171","375775",0.993903841729929
"172","3755",0.722797331492984
"173","374918",0.851046698872786
"174","3557",0.859673337934208
"175","3488",0.938233264320221
"176","3481",0.531976075454336
"177","342897",0.835518748562227
"178","341",0.977915804002761
"179","3209",0.870945479641132
"180","3169",0.761559696342305
"181","316",0.996319300667127
"182","3149",0.999309868875086
"183","3075",0.848861283643892
"184","3017",0.84219001610306
"185","3014",0.990338164251208
"186","3006",0.882217621348056
"187","30001",0.919369680239245
"188","29128",0.995744191396365
"189","29127",0.971589602024385
"190","29028",0.965493443754313
"191","284837",0.798711755233494
"192","283927",0.871175523349436
"193","2810",0.979986197377502
"194","2769",0.940303657694962
"195","27303",0.974235104669887
"196","27242",0.861973775017253
"197","2717",0.94824016563147
"198","27115",0.913733609385783
"199","2706",0.976075454336324
"200","2669",0.887393604784909
"201","26472",0.934092477570738
"202","26353",0.876236484932137
"203","2621",0.916954221302047
"204","2619",0.871405567057741
"205","25849",0.938348286174373
"206","2532",0.947204968944099
"207","2525",0.893259719346676
"208","24137",0.996319300667127
"209","23731",0.827582240625719
"210","23460",0.927881297446515
"211","23336",0.969289164941339
"212","2305",0.996319300667127
"213","23022",0.957441913963653
"214","23017",0.946284794110881
"215","2261",0.678974005060962
"216","2237",0.999194847020934
"217","221303",0.954566367609846
"218","221150",0.999079825166782
"219","220042",0.993673798021624
"220","2194",0.811479181044398
"221","2177",0.976190476190476
"222","2172",0.872325741890959
"223","217",0.903726708074534
"224","2167",0.785254198297677
"225","2146",0.986772486772487
"226","2053",0.900851161720727
"227","2000",0.883252818035427
"228","1917",0.654014262709915
"229","1894",0.985622268230964
"230","1824",0.917644352426961
"231","1780",0.794340924775707
"232","1717",0.981596503335634
"233","169611",0.775247296986427
"234","168537",0.829307568438003
"235","163183",0.805843110190936
"236","152926",0.953646192776628
"237","152503",0.919254658385093
"238","1511",0.826662065792501
"239","1510",0.608120542903152
"240","150468",0.99746951920865
"241","147495",0.87083045778698
"242","144165",0.855992638601334
"243","139818",0.9170692431562
"244","1392",0.730273752012882
"245","1359",0.891074304117782
"246","130497",0.937428111341155
"247","1288",0.879112031285944
"248","1287",0.862893949850472
"249","128239",0.994018863584081
"250","1272",0.915919024614677
"251","124",0.949275362318841
"252","1236",0.652518978605935
"253","118429",0.962847941108811
"254","117177",0.965033356337704
"255","116238",0.977570738440304
"256","116159",0.92109500805153
"257","115572",0.899585921325052
"258","114928",0.923165401426271
"259","114815",0.996549344375431
"260","114757",0.910282953761215
"261","113130",0.997124453646193
"262","11283",0.509316770186335
"263","11130",0.996434322521279
"264","11095",0.921555095468139
"265","11037",0.981136415919025
"266","10894",0.973199907982517
"267","10635",0.985392224522659
"268","1063",0.998159650333563
"269","10615",0.992868645042558
"270","1058",0.997929606625259
"271","10576",0.885323211410168
"272","10535",0.995054060271451
"273","1048",0.827697262479871
"274","10460",0.99700943179204
"275","10403",0.996204278812974
"276","1033",0.970669427191166
"277","10319",0.925350816655164
"278","10212",0.916264090177134
"279","10194",0.91005291005291
"280","10051",0.971129514607776
"281","100170841",0.973659995399126
"282","1001",0.929606625258799
