"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"51","RERGL","79785",0,0,1,0.916486928325278,0.969943502824859,0.826086956521739,0,0.999999029376761,1,65.309746968429
"52","AOX1","316",0,0,0.804938646065209,1,0.995323772272925,0.826086956521739,0.088008800880088,0.999996072514805,1,64.7427698042902
"53","NICOL1","401115",0.849498761383547,0.566280072909268,0.485757519649959,0.171835636421007,0.692498913515863,0.826086956521739,0,0.999995083948754,1,64.4749941410167
"54","PCP4","5121",0,0,1,0.948317702617024,0.796801390699696,1,0,1,1,64.3158402453982
"55","NEK2","4751",0.694964252458359,1,0.121690493120784,0.707548004658137,1,0.391304347826087,0.946094609460946,0,1,64.21429751006
"56","ECT2","1894",0.6070073123628,0.693613373659381,0.315032645806334,0.259140727582034,0.962990004345937,0.391304347826087,0.88008800880088,0.93882613248286,1,64.082747697034
"57","TLCD1","116238",0.752609735121576,0.686207404786745,0.215924697846526,0.2537194767916,0.938652759669709,0.826086956521739,0,0.556090240013871,1,63.0261711261678
"58","FEN1","2237",0.742346974531191,0.856493520794986,0.242660000819336,0.3893315868922,1,0.391304347826087,0.88008800880088,0.260537952964591,1,62.9089617170665
"59","IQGAP3","128239",0.79459629188581,0.86232711523128,0.235671950013138,0.394305369520655,0.988370273794003,0.304347826086956,0.484048404840484,0.412428709210647,1,62.7526672295962
"60","KRT17","3872",0.681857805220909,0.604324959013265,0.477754417283767,0.196370553326304,0.709882659713168,0.695652173913043,0.198019801980198,1,1,62.2355970337598
"61","FAM72D","728833",0.621616320882359,0.992589593350858,0,0.511362535321638,0.987674923946111,0,0.176017601760176,1,1,62.0167845073275
"62","FASN","2194",0.818718089821903,0.461023315173943,0.701817805267439,0.110861700521155,0.436610169491525,1,0.198019801980198,0.999969901484723,1,61.9944955500233
"63","STON1","11037",0,0,1,0.916989588946735,0.949430682312038,0.565217391304348,0,0.999979759790566,1,61.7748950071594
"64","RACGAP1","29127",0.819503705835598,0.676185138069399,0.289178183625375,0.246388758322071,0.920573663624511,0.695652173913043,0.924092409240924,0.186796623649137,1,61.7659899417002
"65","FOXM1","2305",0.661304593958317,0.823846148747515,0.194745428909145,0.361714104566557,0.995323772272925,0.391304347826087,1,0.362975602981477,1,61.7015084487764
"66","KIF11","3832",0.775926473676473,0.858030831527505,0.206436737252661,0.39064333137972,1,0.391304347826087,1,0.0759216388427653,1,61.495231658785
"67","CPED1","79974",0,0,1,0.83936030843203,0.894845719252499,0.695652173913043,0.022002200220022,0.999983312114539,1,61.3829038949963
"68","SBK1","388228",0.831558880790981,0.477122048812731,0.488094418873468,0.119477184824465,0.797496740547588,0.565217391304348,0,1,1,61.3449357654311
"69","ACTC1","70",0,0,0.761330298158779,0.820208398863902,0.813489787049109,1,0.176017601760176,1,1,60.7763129105349
"70","KCNMB1","3779",0,0,0.706003849826534,1,0.930656236418949,0.695652173913043,0.022002200220022,0.999987481819461,1,60.4988784321086
