"","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"1",0.0368463862954842,0.103186286753729,0.132155617281992,0.237434716052546
"10",0.0542232742391677,0.186032704557124,0.172140353476953,0.428066788452506
"100",0.399979795353173,0.0977232363417468,0.967736396291754,0.224864074505521
"1000",0.228539384667221,0.312360467503296,0.573246910219809,0.718750729781501
"10000",-1.90125633515637,0.541807788813375,-4.32747641160249,1.24671584315261
"100008586",-0.038189206524895,0.0647614398615142,-0.0405035144266835,0.149018000050448
"100008587",0.0388507849914621,0.121904934967957,0.136767798320849,0.280506882553123
"100009676",0.0436743834467235,0.202148074715696,0.147867041889037,0.465148734688388
"10001",-0.213515274381058,0.318574657483822,-0.443934013262163,0.733049765825351
"10002",0.0872748145889917,0.0552625440273012,0.248192931246218,0.127160758103251
"10003",-0.352929358885103,0.172231211232862,-0.764729969869714,0.396309141660075
"100033413",-1.34951815892688,0.304528286502699,-3.05791045153402,0.700728648258329
"100033414",-1.57418245782755,0.390881175564101,-3.57486968802576,0.899429215355442
"100033415",-1.47065294265525,0.339514917519527,-3.33664519316956,0.781233927229574
"100033417",-1.48304016477532,0.414652624472395,-3.36514855984055,0.954128026595438
"100033419",-1.48304016477532,0.414652624472395,-3.36514855984055,0.954128026595438
"100033420",-1.71138833733423,0.358087560081379,-3.89058449923086,0.823970130379742
"100033421",-1.47065294265525,0.339514917519527,-3.33664519316956,0.781233927229574
"100033422",-0.191043697826881,0.168902640949993,-0.392226246985736,0.38865000240003
"100033423",-0.730430945011638,0.149290580237736,-1.63337235182945,0.343522067158655
"100033424",-0.483652789216808,0.220221756862235,-1.06552847264268,0.506736815076719
"100033425",-0.94319341443794,0.353601547297399,-2.12294512457047,0.813647681485787
"100033426",-1.10198265407797,0.354545059103052,-2.48832388963944,0.815818730224094
"100033427",-0.942785965855276,0.337968207828593,-2.12200757325843,0.777674902209523
"100033428",-0.894283433444628,0.253591372542701,-2.01040180302428,0.583521293645891
"100033429",-0.958082358196275,0.289319299960263,-2.15720502716799,0.665732317691955
"100033430",-0.810569023103906,0.255780562832185,-1.81777245396945,0.588558685639743
"100033431",-1.34298846727471,0.488955552303188,-3.04288543675619,1.12510127436317
"100033434",-1.26577250728461,0.347049550504964,-2.86520921531477,0.798571341916539
"100033435",-1.00818349409725,0.287238969062806,-2.27248923159866,0.660945414398188
"100033436",-1.36673448915666,0.446193140893751,-3.09752573965201,1.02670369334589
"100033437",-0.412290799290032,0.108662440929083,-0.90132241049754,0.250035509748984
"100033438",-1.5183003595149,0.400862716882108,-3.44628331707754,0.92239703892161
"100033439",-1.04019889502226,0.40571707770155,-2.34615762172186,0.933567067605088
"100033440",-0.692445721864674,0.222102180196647,-1.54596722314586,0.511063725119818
"100033441",-0.467682594254727,0.160200251199808,-1.0287805788535,0.368625544651634
"100033442",-2.78065799304325,0.789773018675502,-6.351005792351,1.81729121508875
"100033443",-2.70643096597366,0.838183261474011,-6.18020719449316,1.92868462417936
"100033444",-0.0564469284742843,0.125675975307616,-0.0825150758773426,0.289184158579215
"100033445",-0.929923473688732,0.267806102443535,-2.0924105960692,0.616229810096564
"100033447",-2.23105416515112,0.649636012547286,-5.08635103131275,1.49483179431398
"100033448",-2.94909130627221,0.828783289007378,-6.73857585770043,1.90705500784436
"100033450",0.0110457020960606,0.146159476535264,0.0727874752586994,0.336317304375576
"100033451",-0.904326608304209,0.334625339397429,-2.03351144720347,0.769982862484818
"100033453",-3.09414196302663,0.890234929649013,-7.07234173476815,2.04845706140922
"100033454",-2.16174316315833,0.67258425592867,-4.92686435342936,1.54763638514268
"100033455",-0.469742675860433,0.125874950132289,-1.03352088792444,0.289642005571136
"100033456",-0.469742675860433,0.125874950132289,-1.03352088792444,0.289642005571136
"100033458",-0.469742675860433,0.125874950132289,-1.03352088792444,0.289642005571136
"100033799",-2.91556971533126,0.913537936657445,-6.66144167953497,2.10207797389949
"100033800",-0.0884437093319326,0.105753823879493,-0.156140620671518,0.243342695374113
"100033801",-1.21842328489197,0.244173964530977,-2.75625724574795,0.561851557602851
"100033802",-0.428758501302254,0.0978675129930959,-0.939215082812047,0.225196059373121
"100033803",-2.94909130627221,0.828783289007378,-6.73857585770043,1.90705500784436
"100033804",-0.346926098885812,0.212918418657365,-0.750916289988751,0.489931616561848
"100033805",-1.27199306922754,0.26365999104184,-2.87952291343371,0.606689484396763
