"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"9338","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93380","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"934","not significant",NA,NA,"not significant",NA,NA,NA,0
"9340","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93408","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9341","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9342","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93426","not significant",NA,NA,NA,"not significant","not significant","not significant",0
"93429",NA,NA,NA,NA,NA,"not significant","not significant",0
"9343","not significant",NA,"not significant","not significant","significant","not significant","not significant",0.122448979591837
"93432",NA,"not significant","not significant",NA,"not significant","not significant","not significant",0
"93436","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9344","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93463","not significant",NA,"not significant",NA,NA,"not significant",NA,0
"93474","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9348","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93487","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9349","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93492","not significant",NA,"not significant",NA,"not significant",NA,"not significant",0
"9350","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9351","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93517","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9352","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9353","significant","not significant","significant","not significant","significant","significant","not significant",0.571428571428571
"9354","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9355","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93550","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"93556","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9356","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9358","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93587","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"93589","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"93594","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9360","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9361","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93611","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9362","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93621","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"93622","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"93624",NA,NA,NA,NA,"not significant","not significant","not significant",0
"93627","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9363","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9364","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93643","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"93649","not significant",NA,"not significant",NA,"not significant","significant","not significant",0.102040816326531
"9365","not significant","not significant","not significant",NA,"significant","not significant","not significant",0.122448979591837
"93650","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"93653","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"93654","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"93655",NA,NA,NA,NA,"not significant",NA,"not significant",0
"93659","not significant",NA,"not significant","not significant",NA,NA,"not significant",0
"9366","not significant","not significant","not significant",NA,NA,"not significant","not significant",0
"93661","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"93663","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"93664","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93668",NA,NA,NA,NA,"not significant","not significant","not significant",0
"9367","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9368","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"9369","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9370","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9371","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9372","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9373","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9374","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9375","not significant","significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"9376","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9377","not significant","significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"9378","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9379","significant","not significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"9380","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9381","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9382","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9383",NA,NA,NA,NA,"not significant","not significant","not significant",0
"9388","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9389","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"939","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9390","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9391","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9392","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9394","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93953","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9397","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"93973","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"93974","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"93978","not significant",NA,"not significant",NA,"not significant",NA,"not significant",0
"93979","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9398","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"93986","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9399","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"94","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"940","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9400","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94005","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94009","not significant",NA,"not significant","not significant","not significant",NA,"not significant",0
"9401","significant","not significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"94015","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9402","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94025","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94026",NA,"not significant","not significant",NA,NA,"not significant","not significant",0
"94027","not significant",NA,"not significant",NA,"not significant",NA,"not significant",0
"9403","not significant","significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"94030","not significant",NA,NA,NA,"not significant","not significant","not significant",0
"94031","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"94032","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"94033","not significant",NA,"not significant",NA,"not significant",NA,"not significant",0
"94039","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9404","not significant","not significant","significant","not significant","not significant","not significant","not significant",0.142857142857143
"94056","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94059","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9406","not significant",NA,"not significant","not significant","significant","not significant","not significant",0.122448979591837
"9407","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94081","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"94086","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9409","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94097","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"941","not significant","significant","not significant",NA,"not significant","not significant","not significant",0.122448979591837
"9410","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"94101","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94103","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94104","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94107","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9411","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94115","not significant",NA,NA,NA,NA,NA,"not significant",0
"9412","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94120","not significant",NA,"significant","not significant","not significant","not significant","not significant",0.122448979591837
"94121","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94122","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9413","not significant","not significant","not significant","not significant","significant","significant","not significant",0.285714285714286
"94134","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94137","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9414","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
