"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"1","not significant",NA,NA,NA,NA,"not significant","not significant",0
"10","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"100","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"1000","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"10000","not significant","not significant","not significant",NA,"not significant","significant","not significant",0.122448979591837
"100008586",NA,NA,NA,NA,NA,NA,"not significant",0
"100008587",NA,NA,NA,NA,NA,NA,"not significant",0
"100008588",NA,NA,"not significant",NA,"not significant",NA,NA,0
"100008589","significant",NA,NA,NA,"not significant",NA,NA,0.0408163265306122
"100009676",NA,NA,NA,NA,"not significant","not significant","not significant",0
"10001","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"10002","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"10003","significant","not significant","significant",NA,"significant","not significant","not significant",0.36734693877551
"100033413",NA,NA,NA,NA,NA,NA,"not significant",0
"100033414",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100033415",NA,NA,NA,NA,NA,NA,"not significant",0
"100033416",NA,NA,NA,NA,"not significant",NA,NA,0
"100033417",NA,NA,NA,NA,NA,NA,"not significant",0
"100033419",NA,NA,NA,NA,NA,NA,"not significant",0
"100033420",NA,NA,NA,NA,NA,NA,"not significant",0
"100033421",NA,NA,NA,NA,NA,NA,"not significant",0
"100033422",NA,NA,NA,NA,NA,NA,"not significant",0
"100033423",NA,NA,NA,NA,NA,NA,"not significant",0
"100033424",NA,NA,NA,NA,NA,NA,"not significant",0
"100033425",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100033426",NA,NA,NA,NA,NA,NA,"not significant",0
"100033427",NA,NA,NA,NA,NA,NA,"not significant",0
"100033428",NA,NA,NA,NA,NA,NA,"not significant",0
"100033429",NA,NA,NA,NA,NA,NA,"not significant",0
"100033430",NA,NA,NA,NA,NA,NA,"not significant",0
"100033431",NA,NA,NA,NA,NA,"not significant","not significant",0
"100033434",NA,NA,NA,NA,NA,NA,"not significant",0
"100033435",NA,NA,NA,NA,NA,NA,"not significant",0
"100033436",NA,NA,NA,NA,NA,NA,"not significant",0
"100033437",NA,NA,NA,NA,NA,NA,"not significant",0
"100033438",NA,NA,NA,NA,NA,NA,"not significant",0
"100033439",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100033440",NA,NA,NA,NA,NA,NA,"not significant",0
"100033441",NA,NA,NA,NA,NA,NA,"not significant",0
"100033442",NA,NA,NA,NA,NA,NA,"not significant",0
"100033443",NA,NA,NA,NA,NA,NA,"not significant",0
"100033444",NA,NA,NA,NA,NA,NA,"not significant",0
"100033445",NA,NA,NA,NA,NA,NA,"not significant",0
"100033447",NA,NA,NA,NA,NA,NA,"not significant",0
"100033448",NA,NA,NA,NA,NA,NA,"not significant",0
"100033450",NA,NA,NA,NA,NA,NA,"not significant",0
"100033451",NA,NA,NA,NA,NA,NA,"not significant",0
"100033453",NA,NA,NA,NA,NA,NA,"not significant",0
"100033454",NA,NA,NA,NA,NA,NA,"not significant",0
"100033455",NA,NA,NA,NA,NA,NA,"not significant",0
"100033456",NA,NA,NA,NA,NA,NA,"not significant",0
"100033458",NA,NA,NA,NA,NA,NA,"not significant",0
"100033799",NA,NA,NA,NA,NA,NA,"not significant",0
"100033800",NA,NA,NA,NA,NA,NA,"not significant",0
"100033801",NA,NA,NA,NA,NA,NA,"not significant",0
"100033802",NA,NA,NA,NA,NA,NA,"not significant",0
"100033803",NA,NA,NA,NA,NA,NA,"not significant",0
"100033804",NA,NA,NA,NA,NA,NA,"not significant",0
"100033805",NA,NA,NA,NA,NA,NA,"not significant",0
"100033806",NA,NA,NA,NA,NA,NA,"not significant",0
"100033807",NA,NA,NA,NA,NA,NA,"not significant",0
"100033809",NA,NA,NA,NA,NA,NA,"not significant",0
"100033811",NA,NA,NA,NA,NA,NA,"not significant",0
"100033812",NA,NA,NA,NA,NA,NA,"not significant",0
"100033813",NA,NA,NA,NA,NA,NA,"not significant",0
"100033814",NA,NA,NA,NA,NA,NA,"not significant",0
"100033815",NA,NA,NA,NA,NA,NA,"not significant",0
"100033816",NA,NA,NA,NA,NA,NA,"not significant",0
"100033817",NA,NA,NA,NA,NA,NA,"not significant",0
"100033818",NA,NA,NA,NA,NA,NA,"not significant",0
"100033821",NA,NA,NA,NA,NA,NA,"not significant",0
"100033822",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100034743",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100036563",NA,NA,NA,NA,NA,NA,"not significant",0
"100036564",NA,NA,NA,NA,NA,NA,"not significant",0
"100036565",NA,NA,NA,NA,NA,NA,"not significant",0
"100036566",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100036567",NA,NA,NA,NA,NA,NA,"not significant",0
"100037417",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100038246",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"10004","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"100048912",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100049076",NA,NA,NA,NA,NA,NA,"not significant",0
"100049587",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100049716",NA,NA,NA,NA,NA,"not significant","not significant",0
"10005","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"10006","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"10007","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"100073347",NA,NA,NA,NA,"not significant",NA,"not significant",0
"10008","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"10009","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"100093630",NA,NA,NA,NA,NA,"not significant","not significant",0
"100093631",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100093698",NA,NA,NA,NA,NA,NA,"not significant",0
"1001","significant","not significant","not significant","not significant","significant","significant","not significant",0.428571428571429
"10010","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"100101116",NA,NA,NA,NA,"not significant",NA,NA,0
"100101120",NA,NA,"not significant",NA,NA,NA,NA,0
"100101266",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100101267",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100101467",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100101490",NA,NA,NA,NA,NA,NA,"not significant",0
"100101938",NA,NA,NA,NA,NA,"not significant","not significant",0
"10011","not significant",NA,NA,"not significant","not significant","not significant","not significant",0
"100113378",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113379",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113380",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113381",NA,NA,NA,NA,"not significant",NA,NA,0
"100113382",NA,NA,NA,NA,NA,NA,"not significant",0
"100113384",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113386",NA,NA,NA,NA,NA,NA,"not significant",0
"100113389",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113391",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113392",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113393",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113402",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100113403",NA,NA,NA,NA,NA,"not significant",NA,0
"100113404",NA,NA,NA,NA,NA,NA,"not significant",0
"100113407",NA,NA,NA,NA,"significant","not significant","not significant",0.0612244897959184
"100124412",NA,NA,NA,NA,NA,NA,"not significant",0
"100124516",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124533",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124534",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124535",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124536",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124537",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124538",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124539",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124540",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100124541",NA,NA,NA,NA,"not significant",NA,NA,0
"100124700",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100125288",NA,NA,NA,NA,"not significant","not significant",NA,0
"100125556",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126270",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126296",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126297",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126299",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126302",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126303",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126304",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126306",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126307",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126308",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126309",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126310",NA,NA,NA,NA,NA,NA,"not significant",0
"100126313",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126314",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126315",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126316",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126317",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126318",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126319",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126320",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126323",NA,NA,NA,NA,"not significant",NA,NA,0
"100126324",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126327",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126328",NA,NA,NA,NA,NA,NA,"not significant",0
"100126329",NA,NA,NA,NA,"not significant",NA,NA,0
"100126331",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126332",NA,NA,NA,NA,"not significant",NA,NA,0
"100126333",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126334",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126335",NA,NA,NA,NA,NA,NA,"not significant",0
"100126336",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126337",NA,NA,NA,NA,NA,NA,"not significant",0
"100126338",NA,NA,NA,NA,"not significant",NA,NA,0
"100126340",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126341",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126342",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126343",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126345",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126346",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126347",NA,NA,NA,NA,"not significant",NA,NA,0
"100126348",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126349",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126350",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126351",NA,NA,NA,NA,"not significant",NA,NA,0
"100126354",NA,NA,NA,NA,"not significant",NA,NA,0
"100126355",NA,NA,NA,NA,NA,NA,"not significant",0
"100126356",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100126780",NA,NA,NA,NA,NA,NA,"not significant",0
"100126781",NA,NA,NA,NA,NA,NA,"not significant",0
"100126784",NA,NA,NA,NA,NA,"not significant","not significant",0
"100126791",NA,"not significant",NA,NA,"not significant","not significant","not significant",0
"100126793",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100126798",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100126799",NA,NA,NA,NA,NA,NA,"not significant",0
"100126800",NA,NA,NA,NA,NA,NA,"not significant",0
"100127888",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100127938",NA,NA,NA,NA,NA,"not significant",NA,0
"100127950",NA,NA,NA,NA,NA,"not significant",NA,0
"100127955",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100127983",NA,NA,"not significant",NA,NA,"significant","not significant",0.0612244897959184
"100128006",NA,NA,NA,NA,NA,NA,"not significant",0
"100128023",NA,NA,NA,NA,NA,NA,"not significant",0
"100128025",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128054",NA,NA,NA,NA,NA,NA,"not significant",0
"100128055",NA,NA,NA,NA,NA,NA,"not significant",0
"100128059",NA,NA,"not significant",NA,NA,NA,NA,0
"100128071",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128076",NA,NA,NA,NA,NA,NA,"not significant",0
"100128079",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128081",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128098",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128108",NA,NA,NA,NA,NA,"not significant",NA,0
"100128124",NA,"not significant","not significant",NA,NA,"not significant","not significant",0
"100128126",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128139",NA,NA,NA,NA,NA,"not significant",NA,0
"100128164",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100128176",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128191",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128233",NA,NA,NA,NA,NA,NA,"not significant",0
"100128239",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128252",NA,NA,NA,NA,NA,"significant","not significant",0.0408163265306122
"100128253",NA,NA,NA,NA,NA,NA,"not significant",0
"100128262",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128264",NA,NA,NA,NA,NA,NA,"not significant",0
"100128285",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128288",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100128292",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100128310",NA,NA,NA,NA,NA,NA,"not significant",0
"100128317",NA,NA,NA,NA,NA,NA,"not significant",0
"100128325",NA,NA,NA,NA,NA,"not significant",NA,0
"100128327",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100128340",NA,NA,NA,NA,NA,NA,"not significant",0
"100128361",NA,NA,NA,NA,NA,NA,"not significant",0
"100128378",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100128385",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100128386",NA,NA,NA,NA,NA,NA,"not significant",0
"100128398",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128420",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128496",NA,NA,NA,NA,NA,"not significant",NA,0
"100128505",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100128511",NA,NA,NA,NA,NA,"not significant",NA,0
"100128531",NA,NA,NA,NA,NA,NA,"not significant",0
"100128537",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128553",NA,NA,NA,NA,NA,NA,"not significant",0
"100128554",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128560",NA,NA,NA,NA,NA,NA,"not significant",0
"100128569",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100128590",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128593",NA,NA,NA,NA,NA,NA,"not significant",0
"100128594",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128640",NA,"significant",NA,NA,NA,"not significant","not significant",0.0612244897959184
"100128653",NA,NA,NA,NA,NA,"not significant",NA,0
"100128675",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100128682",NA,NA,NA,NA,NA,NA,"not significant",0
"100128714",NA,NA,NA,NA,NA,NA,"not significant",0
"100128731",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100128750",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128782",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128787",NA,NA,NA,NA,NA,NA,"not significant",0
"100128788",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128811",NA,NA,NA,NA,NA,NA,"not significant",0
"100128822",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128830",NA,NA,NA,NA,NA,"not significant",NA,0
"100128881",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128885",NA,NA,NA,NA,NA,NA,"not significant",0
"100128893",NA,NA,NA,NA,NA,"not significant",NA,0
"100128905",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100128908",NA,NA,NA,NA,NA,NA,"not significant",0
"100128927",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100128946",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100128977",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100128988",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128993",NA,NA,NA,NA,NA,"not significant","not significant",0
"100128998",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129027",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129029",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129032",NA,NA,NA,NA,NA,NA,"not significant",0
"100129034",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129046",NA,NA,NA,NA,NA,NA,"not significant",0
"100129055",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129060",NA,NA,NA,NA,NA,NA,"not significant",0
"100129066",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129075",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129098",NA,NA,NA,NA,NA,"not significant",NA,0
"100129128",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129129",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129138",NA,NA,NA,NA,NA,NA,"not significant",0
"100129148",NA,NA,NA,NA,NA,NA,"not significant",0
"100129175",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129195",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129196",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129213",NA,NA,NA,NA,NA,NA,"not significant",0
"100129216",NA,NA,NA,NA,NA,NA,"not significant",0
"100129223",NA,NA,NA,NA,NA,NA,"not significant",0
"100129239",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129250",NA,"not significant",NA,NA,NA,"not significant",NA,0
"100129269",NA,NA,NA,NA,NA,NA,"not significant",0
"100129271",NA,"not significant",NA,NA,"not significant","not significant","not significant",0
"100129297",NA,NA,NA,NA,NA,NA,"not significant",0
"100129316",NA,NA,NA,NA,NA,NA,"not significant",0
"100129345",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129347",NA,NA,NA,NA,NA,NA,"not significant",0
"100129354",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129361",NA,"significant",NA,NA,NA,"not significant","not significant",0.0612244897959184
"100129387",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100129405",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129407",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129424",NA,NA,NA,NA,NA,NA,"not significant",0
"100129427",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129434",NA,NA,NA,NA,NA,NA,"not significant",0
"100129455",NA,NA,NA,NA,NA,"not significant",NA,0
"100129460",NA,"not significant",NA,NA,NA,"not significant","not significant",0
"100129461",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129464",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129480",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129482",NA,"not significant",NA,NA,NA,"not significant","not significant",0
"100129515",NA,NA,"not significant",NA,NA,NA,NA,0
"100129518",NA,NA,NA,NA,NA,NA,"not significant",0
"100129520",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129528",NA,"not significant",NA,NA,NA,"not significant",NA,0
"100129534",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100129543",NA,NA,NA,NA,NA,NA,"not significant",0
"100129550",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100129583",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100129597",NA,NA,NA,NA,NA,"not significant",NA,0
"100129603",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129617",NA,NA,NA,NA,NA,NA,"not significant",0
"100129620",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129636",NA,NA,NA,NA,NA,NA,"not significant",0
"100129654",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129662",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129716",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129722",NA,NA,NA,NA,NA,NA,"not significant",0
"100129724",NA,NA,NA,NA,NA,NA,"not significant",0
"100129726",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129792",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100129794",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129827",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129842",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100129845",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129858",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129917",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100129931",NA,NA,NA,NA,NA,NA,"not significant",0
"100129933",NA,NA,NA,NA,NA,NA,"not significant",0
"100129935",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129940",NA,NA,NA,NA,NA,NA,"not significant",0
"100129960",NA,NA,NA,NA,NA,"not significant",NA,0
"100129961",NA,NA,NA,NA,NA,"not significant","not significant",0
"100129969",NA,NA,NA,NA,NA,"not significant",NA,0
"100129973",NA,"not significant",NA,NA,NA,"not significant","not significant",0
"100129995",NA,NA,NA,NA,NA,NA,"not significant",0
"10013","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"100130015",NA,NA,NA,NA,NA,NA,"not significant",0
"100130017",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100130086",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"100130111",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130148",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"100130155",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130172",NA,NA,NA,NA,NA,NA,"not significant",0
"100130197",NA,NA,NA,NA,NA,NA,"not significant",0
"100130207",NA,NA,NA,NA,NA,NA,"not significant",0
"100130231",NA,NA,NA,NA,NA,NA,"not significant",0
"100130238",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"100130249",NA,NA,NA,NA,NA,"not significant",NA,0
"100130256",NA,NA,NA,NA,NA,NA,"not significant",0
"100130264",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100130268",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130274",NA,NA,NA,NA,NA,NA,"not significant",0
"100130275",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130298",NA,NA,NA,NA,NA,NA,"not significant",0
"100130301",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100130302",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100130311",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100130331",NA,"not significant",NA,NA,NA,"not significant","not significant",0
"100130342",NA,NA,NA,NA,NA,NA,"not significant",0
"100130348",NA,"not significant","not significant",NA,NA,"not significant","not significant",0
"100130357",NA,NA,NA,NA,NA,"not significant",NA,0
"100130361",NA,NA,"not significant",NA,NA,NA,NA,0
"100130370",NA,NA,NA,NA,NA,"not significant",NA,0
"100130386",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"100130394",NA,NA,NA,NA,NA,NA,"not significant",0
"100130417",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130418",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130449",NA,"not significant","not significant",NA,"not significant","not significant","not significant",0
"100130452",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130460",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130476",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130480",NA,NA,NA,NA,NA,NA,"not significant",0
"100130519",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100130522",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100130548",NA,NA,NA,NA,NA,"not significant",NA,0
"100130557",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100130581",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130613",NA,NA,NA,NA,"significant","not significant","not significant",0.0612244897959184
"100130673",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100130691",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100130700",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130705",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100130717",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100130733",NA,NA,NA,NA,"not significant","not significant",NA,0
"100130742",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100130744",NA,NA,NA,NA,NA,"not significant",NA,0
"100130771",NA,NA,NA,NA,NA,NA,"not significant",0
"100130776",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130827",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100130849",NA,NA,NA,NA,NA,NA,"not significant",0
"100130855",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130872",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100130889",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100130890",NA,NA,NA,NA,NA,NA,"not significant",0
"100130894",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130933",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100130934",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130950",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130954",NA,NA,NA,NA,NA,NA,"not significant",0
"100130958",NA,"not significant",NA,NA,"not significant","not significant","not significant",0
"100130964",NA,NA,NA,NA,NA,"not significant",NA,0
"100130967",NA,NA,NA,NA,NA,"not significant","not significant",0
"100130987",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100130988",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100130992",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100131017",NA,NA,NA,NA,NA,"not significant","not significant",0
"100131047",NA,NA,NA,NA,NA,NA,"not significant",0
"100131060",NA,NA,NA,NA,NA,NA,"not significant",0
"100131067",NA,NA,NA,NA,NA,"not significant","not significant",0
"100131089",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100131107",NA,NA,"not significant",NA,NA,NA,NA,0
"100131117",NA,NA,NA,NA,NA,"not significant","not significant",0
"100131137",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100131138",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100131176",NA,NA,NA,NA,NA,"not significant","not significant",0
"100131187",NA,NA,NA,NA,"significant","significant","not significant",0.122448979591837
"100131193",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100131208",NA,NA,NA,NA,NA,NA,"not significant",0
"100131211",NA,NA,"not significant",NA,"not significant","not significant","not significant",0
"100131213",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100131234",NA,NA,NA,NA,NA,NA,"not significant",0
"100131244",NA,NA,NA,NA,NA,NA,"not significant",0
"100131257",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"100131289",NA,NA,NA,NA,NA,NA,"not significant",0
"100131303",NA,NA,NA,NA,NA,"not significant",NA,0
"100131320",NA,NA,NA,NA,NA,NA,"not significant",0
"100131347",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100131366",NA,NA,NA,NA,NA,"not significant","not significant",0
"100131378",NA,NA,"not significant",NA,NA,NA,"not significant",0
"100131390",NA,NA,NA,NA,NA,NA,"not significant",0
"100131434",NA,NA,"not significant",NA,NA,"not significant","not significant",0
"100131439",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100131454",NA,NA,NA,NA,"not significant","not significant","not significant",0
"100131496",NA,NA,NA,NA,"not significant","not significant","not significant",0
